row_label_raw,row_label_full,STT,CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,Thuyết minh > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,31/12/2016Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,31/12/2015Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__Thuyết minh > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__31/12/2016Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__31/12/2015Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN
1,1,1,Bảo lãnh vay vốn,,222.549,74.143,,,222549.0,74143.0
2,2,2,Cam kết giao dịch hối đoái,,24.605.699,19.757.401,,,24605699.0,19757401.0
a,a,a,Cam kết mua ngoại tệ,,9.019.812,8.852.550,,,9019812.0,8852550.0
b,b,b,Cam kết bán ngoại tệ,,15.585.887,10.904.851,,,15585887.0,10904851.0
3,3,3,Cam kết trong nghiệp vụ thư tín dụng,,44.755.947,30.826.079,,,44755947.0,30826079.0
4,4,4,Bảo lãnh khác,,36.683.048,27.283.715,,,36683048.0,27283715.0
5,5,5,Các cam kết khác,,63.624,26.797,,,63624.0,26797.0
,,,,36,106.330.867,77.968.135,,36.0,106330867.0,77968135.0
