row_label_raw,row_label_full,col_0,Nămkết thúc31/12/2016Triệu VND,Nămkết thúc31/12/2015Triệu VND,numeric__Nămkết thúc31/12/2016Triệu VND,numeric__Nămkết thúc31/12/2015Triệu VND
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,2.121.544,1.834.236,2121544.0,1834236.0
Thu về nghiệp vụ tất toán Trái phiếu VAMC,Thu nhập từ hoạt động khác > Thu về nghiệp vụ tất toán Trái phiếu VAMC,Thu về nghiệp vụ tất toán Trái phiếu VAMC,57.110,212.882,57110.0,212882.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,114.885,93.432,114885.0,93432.0
,,,2.293.539,2.140.550,2293539.0,2140550.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí hoạt động khác > Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí cho nghiệp vụ hoán đổi lãi suất,(132.417),(4.310),-132417.0,-4310.0
Chi về nghiệp vụ bán nợ,Chi phí hoạt động khác > Chi về nghiệp vụ bán nợ,Chi về nghiệp vụ bán nợ,(2.026),(110),-2026.0,-110.0
Chi công tác xã hội,Chi phí hoạt động khác > Chi công tác xã hội,Chi công tác xã hội,(216.968),(211.851),-216968.0,-211851.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(24.938),(19.000),-24938.0,-19000.0
,,,(376.349),(235.271),-376349.0,-235271.0
,,,1.917.190,1.905.279,1917190.0,1905279.0
