row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Bản quyền và bằng sáng chế Triệu VND,Tài sản vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Bản quyền và bằng sáng chế Triệu VND,numeric__Tài sản vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.637.129,477.772,96.898,2.211.799,1637129.0,477772.0,96898.0,2211799.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,242.780,64.198,-,306.978,242780.0,64198.0,,306978.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.879.909,541.970,96.898,2.518.777,1879909.0,541970.0,96898.0,2518777.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,39.090,452.472,66.386,557.948,39090.0,452472.0,66386.0,557948.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,7.977,24.589,5.927,38.493,7977.0,24589.0,5927.0,38493.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,47.067,477.061,72.313,596.441,47067.0,477061.0,72313.0,596441.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.598.039,25.300,30.512,1.653.851,1598039.0,25300.0,30512.0,1653851.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.832.842,64.909,24.585,1.922.336,1832842.0,64909.0,24585.0,1922336.0
