row_label_raw,row_label_full,col_0,Nămkết thúc31/12/2016Triệu VND,Nămkết thúc31/12/2015Triệu VND,numeric__Nămkết thúc31/12/2016Triệu VND,numeric__Nămkết thúc31/12/2015Triệu VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,8.523.083,6.827.457,8523083.0,6827457.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,
Lợi nhuận tính thuế của các công ty con,Điều chỉnh cho các khoản: > Lợi nhuận tính thuế của các công ty con,Lợi nhuận tính thuế của các công ty con,(220.863),(210.059),-220863.0,-210059.0
Cổ tức thu được trong năm (xem Thuyết minh 29),Điều chỉnh cho các khoản: > Cổ tức thu được trong năm (xem Thuyết minh 29),Cổ tức thu được trong năm (xem Thuyết minh 29),(24.549),(94.803),-24549.0,-94803.0
"Phân chia lỗ theo phương pháp vốn chủ sở hữu của các khoản đầu tư vào các công ty liên doanh, liên kết (xem Thuyết minh 29)","Điều chỉnh cho các khoản: > Phân chia lỗ theo phương pháp vốn chủ sở hữu của các khoản đầu tư vào các công ty liên doanh, liên kết (xem Thuyết minh 29)","Phân chia lỗ theo phương pháp vốn chủ sở hữu của các khoản đầu tư vào các công ty liên doanh, liên kết (xem Thuyết minh 29)",(47.007),47.468,-47007.0,47468.0
Các khoản điều chỉnh hợp nhất không chịu thuế,Điều chỉnh cho các khoản: > Các khoản điều chỉnh hợp nhất không chịu thuế,Các khoản điều chỉnh hợp nhất không chịu thuế,(106.648),-,-106648.0,
Chi phí dự phòng đã trích lập trong năm 2013 nhưng chỉ đủ điều kiện khấu trừ khi tính thuế trong năm 2014 của Công ty TNHH Chứng khoán Vietcombank (“VCBS”),Điều chỉnh cho các khoản: > Chi phí dự phòng đã trích lập trong năm 2013 nhưng chỉ đủ điều kiện khấu trừ khi tính thuế trong năm 2014 của Công ty TNHH Chứng khoán Vietcombank (“VCBS”),Chi phí dự phòng đã trích lập trong năm 2013 nhưng chỉ đủ điều kiện khấu trừ khi tính thuế trong năm 2014 của Công ty TNHH Chứng khoán Vietcombank (“VCBS”),-,(127),,-127.0
Chi phí từ các hoạt động không chịu thuế TNDN,Điều chỉnh cho các khoản: > Chi phí từ các hoạt động không chịu thuế TNDN,Chi phí từ các hoạt động không chịu thuế TNDN,1.325,1.984,1325.0,1984.0
Thu nhập chịu thuế,Điều chỉnh cho các khoản: > Thu nhập chịu thuế,Thu nhập chịu thuế,8.125.341,6.571.920,8125341.0,6571920.0
Thuế suất thuế thu nhập doanh nghiệp,Điều chỉnh cho các khoản: > Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,22%,0.2,0.22
Chi phí thuế TNDN hiện hành ước tính của Ngân hàng (thuế suất: 20%),Điều chỉnh cho các khoản: > Chi phí thuế TNDN hiện hành ước tính của Ngân hàng (thuế suất: 20%),Chi phí thuế TNDN hiện hành ước tính của Ngân hàng (thuế suất: 20%),(1.625.068),(1.445.822),-1625068.0,-1445822.0
Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 20%),Điều chỉnh cho các khoản: > Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 20%),Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 20%),(45.474),(47.813),-45474.0,-47813.0
"Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 16,5%)","Điều chỉnh cho các khoản: > Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 16,5%)","Chi phí thuế TNDN hiện hành ước tính của các công ty con (thuế suất: 16,5%)",(1.540),(1.465),-1540.0,-1465.0
Chi phí thuế TNDN trong năm của toàn hệ thống,Điều chỉnh cho các khoản: > Chi phí thuế TNDN trong năm của toàn hệ thống,Chi phí thuế TNDN trong năm của toàn hệ thống,(1.672.082),(1.495.100),-1672082.0,-1495100.0
