row_label_raw,row_label_full,Ngân hàng Nhà nước Việt Nam,Mối quan hệ > Cơ quan,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__Mối quan hệ > Cơ quan,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
Tiền gửi của Vietcombank tại NHNN,Tiền gửi của Vietcombank tại NHNN,Tiền gửi của Vietcombank tại NHNN,quản lý,17.382.418,19.715.035,,17382418.0,19715035.0
Tiền gửi và tiền vay của Ngân hàng từ NHNN,Tiền gửi và tiền vay của Ngân hàng từ NHNN,Tiền gửi và tiền vay của Ngân hàng từ NHNN,,(11.399.055),(15.429.696),,-11399055.0,-15429696.0
Bộ Tài chính,Bộ Tài chính,Bộ Tài chính,Cơ quan,,,,,
Tiền gửi tại Ngân hàng,Bộ Tài chính > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,quản lý,42.752.358,26.049.857,,42752358.0,26049857.0
Vay Bộ Tài chính,Bộ Tài chính > Vay Bộ Tài chính,Vay Bộ Tài chính,,(651.693),(545.838),,-651693.0,-545838.0
