row_label_raw,row_label_full,col_0,col_1,Miền BắcTriệu VND,Miền Trungvà Tây NguyênTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__Miền BắcTriệu VND,numeric__Miền Trungvà Tây NguyênTriệu VND,numeric__Miền NamTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,53.329.837(44.736.243),9.149.110(6.538.261),25.378.371(18.075.757),26.018(5.364),(50.170.164)50.170.164,37.713.172(19.185.461),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,53.329.837(44.736.243),9.149.110(6.538.261),25.378.371(18.075.757),26.018(5.364),(50.170.164)50.170.164,37.713.172(19.185.461),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,8.593.594,2.610.849,7.302.614,20.654,-,18.527.711,,8593594.0,2610849.0,7302614.0,20654.0,,18527711.0
3,3,3,Thu nhập từ hoạt động dịch vụ,2.416.442(2.144.168),384.512(20.489),1.602.892(69.825),21.175(9.245),(98.538)23.949,4.326.483(2.219.778),,,,,,,
4,4,4,Chi phí từ hoạt động dịch vụ,2.416.442(2.144.168),384.512(20.489),1.602.892(69.825),21.175(9.245),(98.538)23.949,4.326.483(2.219.778),,,,,,,
II,4 > II,II,Lãi thuần từ hoạt động dịch vụ,272.274,364.023,1.533.067,11.930,(74.589),2.106.705,,272274.0,364023.0,1533067.0,11930.0,-74589.0,2106705.0
III,4 > III,III,Lãi/(Lỗ) thuần từ hoạt động kinh doanh ngoại hối,1.412.717,68.460,368.786,155,-,1.850.118,,1412717.0,68460.0,368786.0,155.0,,1850118.0
IV,4 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,495.768,-,-,-,-,495.768,,495768.0,,,,,495768.0
V,4 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,(89.416),-,-,-,-,(89.416),,-89416.0,,,,,-89416.0
5,5,5,Thu nhập từ hoạt động khác,1.005.277(216.372),463.158(94.186),827.678(60.021),590(5.770),(3.164)-,2.293.539(376.349),,,,,,,
6,6,6,Chi phí hoạt động khác,1.005.277(216.372),463.158(94.186),827.678(60.021),590(5.770),(3.164)-,2.293.539(376.349),,,,,,,
VI,6 > VI,VI,Lãi/(Lỗ) thuần từ hoạt động khác,788.905,368.972,767.657,(5.180),(3.164),1.917.190,,788905.0,368972.0,767657.0,-5180.0,-3164.0,1917190.0
VII,6 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",71.556,-,-,-,-,71.556,,71556.0,,,,,71556.0
VII,6 > VII,VII,Tổng thu nhập hoạt động,11.545.398,3.412.304,9.972.124,27.559,(77.753),24.879.632,,11545398.0,3412304.0,9972124.0,27559.0,-77753.0,24879632.0
VIII,6 > VIII,VIII,Tổng chi phí hoạt động,(6.330.767),(983.337),(2.678.762),(35.330),77.753,(9.950.443),,-6330767.0,-983337.0,-2678762.0,-35330.0,77753.0,-9950443.0
IX,6 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,5.214.631,2.428.967,7.293.362,(7.771),-,14.929.189,,5214631.0,2428967.0,7293362.0,-7771.0,,14929189.0
X,6 > X,X,Chi phí dự phòng rủi ro tín dụng,(4.304.988),(573.976),(1.527.095),(47),-,(6.406.106),,-4304988.0,-573976.0,-1527095.0,-47.0,,-6406106.0
XI,6 > XI,XI,Tổng lợi nhuận trước thuế,909.643,1.854.991,5.766.267,(7.818),-,8.523.083,,909643.0,1854991.0,5766267.0,-7818.0,,8523083.0
7,6 > 7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,(146.290),(370.998),(1.153.254),(1.540),-,(1.672.082),,-146290.0,-370998.0,-1153254.0,-1540.0,,-1672082.0
8,8,8,Chi phí thuế thu nhập hoãn lại,-,-,-,-,-,-,,,,,,,
XII,8 > XII,XII,Chi phí thuế thu nhập doanh nghiệp,(146.290),(370.998),(1.153.254),(1.540),-,(1.672.082),,-146290.0,-370998.0,-1153254.0,-1540.0,,-1672082.0
XIII,8 > XIII,XIII,Lợi nhuận sau thuế,763.353,1.483.993,4.613.013,(9.358),-,6.851.001,,763353.0,1483993.0,4613013.0,-9358.0,,6851001.0
