row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền dẫnTriệu VND",Tài sânhửu hình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền dẫnTriệu VND",numeric__Tài sânhửu hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.018.662,3.230.707,681.072,731.294,7.661.735,3018662.0,3230707.0,681072.0,731294.0,7661735.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,503.265,266.068,72.134,166.894,1.008.361,503265.0,266068.0,72134.0,166894.0,1008361.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,478.419,265.749,72.134,148.968,965.270,478419.0,265749.0,72134.0,148968.0,965270.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,24.846,319,-,17.926,43.091,24846.0,319.0,,17926.0,43091.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(7.835),(17.379),(10.968),(11.918),(48.100),-7835.0,-17379.0,-10968.0,-11918.0,-48100.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.886),(16.926),(10.964),(10.815),(44.591),-5886.0,-16926.0,-10964.0,-10815.0,-44591.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(1.949),(453),(4),(1.103),(3.509),-1949.0,-453.0,-4.0,-1103.0,-3509.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.514.092,3.479.396,742.238,886.270,8.621.996,3514092.0,3479396.0,742238.0,886270.0,8621996.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,619.846,2.806.529,421.353,428.385,4.276.113,619846.0,2806529.0,421353.0,428385.0,4276113.0
Tăng trong năm,Giá trị khấu hao lũy kế > Tăng trong năm,Tăng trong năm,153.432,292.958,71.772,155.043,673.205,153432.0,292958.0,71772.0,155043.0,673205.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,153.246,292.958,71.772,154.692,672.668,153246.0,292958.0,71772.0,154692.0,672668.0
- Tăng khác,Giá trị khấu hao lũy kế > - Tăng khác,- Tăng khác,186,-,-,351,537,186.0,,,351.0,537.0
Giảm trong năm,Giá trị khấu hao lũy kế > Giảm trong năm,Giảm trong năm,(5.600),(17.352),(10.964),(10.452),(44.368),-5600.0,-17352.0,-10964.0,-10452.0,-44368.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(4.077),(16.926),(10.964),(10.349),(42.316),-4077.0,-16926.0,-10964.0,-10349.0,-42316.0
- Giảm khác,Giá trị khấu hao lũy kế > - Giảm khác,- Giảm khác,(1.523),(426),-,(103),(2.052),-1523.0,-426.0,,-103.0,-2052.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,767.678,3.082.135,482.161,572.976,4.904.950,767678.0,3082135.0,482161.0,572976.0,4904950.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.398.816,424.178,259.719,302.909,3.385.622,2398816.0,424178.0,259719.0,302909.0,3385622.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.746.414,397.261,260.077,313.294,3.717.046,2746414.0,397261.0,260077.0,313294.0,3717046.0
