row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp,Giá gốc Triệu VND,Giá trị ghi số Triệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp,numeric__Giá gốc Triệu VND,numeric__Giá trị ghi số Triệu VND
Công ty Liên doanh TNHHVietcombank - Bonday - Bến Thành,Công ty Liên doanh TNHHVietcombank - Bonday - Bến Thành,Công ty Liên doanh TNHHVietcombank - Bonday - Bến Thành,Cho thuê văn phòng,52%,410.365,397.244,,0.52,410365.0,397244.0
Công ty Liên doanh Quản lý Quỹđầu tư chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹđầu tư chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹđầu tư chứng khoán Vietcombank,Quản lý quỹ đầu tư,51%,135.150,132.307,,0.51,135150.0,132307.0
Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Công ty TNHH Bảo hiểm Nhân thọVietcombank - Cardif,Bảo hiểm nhân thọ,45%,270.000,273.547,,0.45,270000.0,273547.0
,,,,,815.515,803.098,,,815515.0,803098.0
