row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ dự trữ,Quỹ dự trữ_1,Quỹ dự trữ_2,Quỹ dự trữ_3,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận để lại,Lợi ích cổ đông thiểu số,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ dự trữ,numeric__Quỹ dự trữ_1,numeric__Quỹ dự trữ_2,numeric__Quỹ dự trữ_3,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận để lại,numeric__Lợi ích cổ đông thiểu số,numeric__Tổng cộng
,,,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Tổng cộng,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,,
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,26.650.203,5.725.318,45.160,1.617.448,3.253.253,70.661,4.941.362,89.222,79.969,7.475.808,165.300,45.172.342,26650203.0,5725318.0,45160.0,1617448.0,3253253.0,70661.0,4941362.0,89222.0,79969.0,7475808.0,165300.0,45172342.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,-,6.831.725,19.276,6.851.001,,,,,,,,,,6831725.0,19276.0,6851001.0
Phát hành cổ phiếu mới theo NQ Đại hội đồng cổ đông,Phát hành cổ phiếu mới theo NQ Đại hội đồng cổ đông,Phát hành cổ phiếu mới theo NQ Đại hội đồng cổ đông,9.327.483,(5.724.125),-,-,-,-,-,-,-,(3.603.358),-,-,9327483.0,-5724125.0,,,,,,,,-3603358.0,,
Tạm trích quỹ từ lợi nhuận năm 2016,Tạm trích quỹ từ lợi nhuận năm 2016,Tạm trích quỹ từ lợi nhuận năm 2016,-,-,-,336.544,669.800,-,1.006.344,-,-,(2.205.681),-,(1.199.337),,,,336544.0,669800.0,,1006344.0,,,-2205681.0,,-1199337.0
Trích quỹ khen thưởng phúc lợi 2015,Trích quỹ khen thưởng phúc lợi 2015,Trích quỹ khen thưởng phúc lợi 2015,-,-,-,-,-,-,-,-,-,(8.798),(551),(9.349),,,,,,,,,,-8798.0,-551.0,-9349.0
Trả cổ tức bằng tiền cho cổ đông,Trả cổ tức bằng tiền cho cổ đông,Trả cổ tức bằng tiền cho cổ đông,-,-,-,-,-,-,-,-,-,(2.665.020),(40.721),(2.705.741),,,,,,,,,,-2665020.0,-40721.0,-2705741.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,-,(7.300),-,(7.300),-,-,-,-,(7.300),,,,,-7300.0,,-7300.0,,,,,-7300.0
Điều chỉnh của KTĐL theo phương pháp vốn chủ sở hữu,Điều chỉnh của KTĐL theo phương pháp vốn chủ sở hữu,Điều chỉnh của KTĐL theo phương pháp vốn chủ sở hữu,-,-,-,-,-,-,-,-,-,2.615,-,2.615,,,,,,,,,,2615.0,,2615.0
Chi phí phát hành cổ phiếu cho cổ đông chiến lược nước ngoài,Chi phí phát hành cổ phiếu cho cổ đông chiến lược nước ngoài,Chi phí phát hành cổ phiếu cho cổ đông chiến lược nước ngoài,-,(1.193),-,-,-,-,-,-,-,-,-,(1.193),,-1193.0,,,,,,,,,,-1193.0
Điều chỉnh trích quỹ 2015 theo NQ Đại hội đồng cổ đông,Điều chỉnh trích quỹ 2015 theo NQ Đại hội đồng cổ đông,Điều chỉnh trích quỹ 2015 theo NQ Đại hội đồng cổ đông,-,-,-,(1.246),(2.493),-,(3.739),-,-,3.627,-,(112),,,,-1246.0,-2493.0,,-3739.0,,,3627.0,,-112.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,-,4.276,-,197,4.473,,,,,,,,,4276.0,,197.0,4473.0
Đánh giá lại tài sản,Đánh giá lại tài sản,Đánh giá lại tài sản,-,-,-,-,-,-,-,(5.937),-,-,-,(5.937),,,,,,,,-5937.0,,,,-5937.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,-,28,20,48,,,,,,,,,,28.0,20.0,48.0
Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,35.977.686,-,45.160,1.952.746,3.913.260,70.661,5.936.667,83.285,84.245,5.830.946,143.521,48.101.510,35977686.0,,45160.0,1952746.0,3913260.0,70661.0,5936667.0,83285.0,84245.0,5830946.0,143521.0,48101510.0
