row_label_raw,row_label_full,col_0,col_1,Nợ quá hạn trên 3 tháng > Triệu VND,Nợ quá hạn đến 3 tháng > Triệu VND,Nợ trong hạn > Đến 1 tháng Triệu VND,Nợ trong hạn > Từ 1 đến 3 tháng Triệu VND,Nợ trong hạn > Từ 3 đến 12 tháng Triệu VND,Nợ trong hạn > Từ 1 đến 5 năm Triệu VND,Nợ trong hạn > Trên 5 năm Triệu VND,Tổng cộng > Triệu VND,numeric__col_1,numeric__Nợ quá hạn trên 3 tháng > Triệu VND,numeric__Nợ quá hạn đến 3 tháng > Triệu VND,numeric__Nợ trong hạn > Đến 1 tháng Triệu VND,numeric__Nợ trong hạn > Từ 1 đến 3 tháng Triệu VND,numeric__Nợ trong hạn > Từ 3 đến 12 tháng Triệu VND,numeric__Nợ trong hạn > Từ 1 đến 5 năm Triệu VND,numeric__Nợ trong hạn > Trên 5 năm Triệu VND,numeric__Tổng cộng > Triệu VND
I,I,I,Tài sản,,,,,,,,,,,,,,,,,
I,I > I,I,"Tiền mặt, vàng bạc, đá quý",-,-,9.692.053,-,-,-,-,9.692.053,,,,9692053.0,,,,,9692053.0
II,I > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,17.382.418,-,-,-,-,17.382.418,,,,17382418.0,,,,,17382418.0
III,I > III,III,"Tiền, vàng gửi và cho vay các tổ chức tín dụng khác – gộp",-,-,129.095.006,14.422.171,8.328.393,-,-,151.845.570,,,,129095006.0,14422171.0,8328393.0,,,151845570.0
IV,I > IV,IV,Chứng khoán kinh doanh – gộp,-,-,4.271.362,-,-,-,-,4.271.362,,,,4271362.0,,,,,4271362.0
V,I > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,230.658,-,-,-,230.658,,,,,230658.0,,,,230658.0
VI,I > VI,VI,Cho vay khách hàng – gộp,4.240.373,1.164.506,41.799.722,105.749.545,146.077.832,101.946.112,59.830.378,460.808.468,,4240373.0,1164506.0,41799722.0,105749545.0,146077832.0,101946112.0,59830378.0,460808468.0
VIII,I > VIII,VIII,Chứng khoán đầu tư – gộp,-,-,1.319.864,4.206.124,9.905.518,82.919.725,33.600.003,131.951.234,,,,1319864.0,4206124.0,9905518.0,82919725.0,33600003.0,131951234.0
IX,I > IX,IX,Góp vốn đầu tư dài hạn – gộp,-,-,-,-,-,-,3.642.161,3.642.161,,,,,,,,3642161.0,3642161.0
X,I > X,X,Tài sản cố định,-,-,-,-,-,-,5.639.382,5.639.382,,,,,,,,5639382.0,5639382.0
XII,I > XII,XII,Tài sản Có khác – gộp,-,-,-,10.800.982,-,-,-,10.800.982,,,,,10800982.0,,,,10800982.0
,,,Tổng tài sản,4.240.373,1.164.506,203.560.425,135.409.480,164.311.743,184.865.837,102.711.924,796.264.288,,4240373.0,1164506.0,203560425.0,135409480.0,164311743.0,184865837.0,102711924.0,796264288.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
"I, II","I > I, II","I, II",Tiền gửi của và vay từ NHNN và các tổ chức tín dụng khác,-,-,100.175.262,13.065.345,12.448.246,608.814,92.151,126.389.818,,,,100175262.0,13065345.0,12448246.0,608814.0,92151.0,126389818.0
III,I > III,III,Tiền gửi của khách hàng,-,-,164.978.585,139.341.992,175.362.542,44.611.931,66.156.294,590.451.344,,,,164978585.0,139341992.0,175362542.0,44611931.0,66156294.0,590451344.0
VI,I > VI,VI,Phát hành giấy tờ có giá,-,-,286.376,-,-,4.000.000,6.000.000,10.286.376,,,,286376.0,,,4000000.0,6000000.0,10286376.0
VII,I > VII,VII,Các khoản nợ khác,-,-,-,12.677.844,-,-,-,12.677.844,,,,,12677844.0,,,,12677844.0
,,,Tổng nợ phải trả,-,-,265.440.223,165.085.181,187.810.788,49.220.745,72.248.445,739.805.382,,,,265440223.0,165085181.0,187810788.0,49220745.0,72248445.0,739805382.0
,,,Mức chênh thanh khoản ròng,4.240.373,1.164.506,(61.879.798),(29.675.701),(23.499.045),135.645.092,30.463.479,56.458.906,,4240373.0,1164506.0,-61879798.0,-29675701.0,-23499045.0,135645092.0,30463479.0,56458906.0
