row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,9.692.053,8.519.334,,4.0,9692053.0,8519334.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,17.382.418,19.715.035,,5.0,17382418.0,19715035.0
III,A > III,III,Tiền gửi tại và cho vay các tổ chức tín dụng khác,6,151.845.570,131.527.373,,6.0,151845570.0,131527373.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,103.236.053,92.587.537,,,103236053.0,92587537.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,48.609.517,38.939.836,,,48609517.0,38939836.0
3,3,3,Dự phòng rủi ro,,-,-,,,,
IV,3 > IV,IV,Chứng khoán kinh doanh,7,4.233.529,9.925.046,,7.0,4233529.0,9925046.0
1,3 > 1,1,Chứng khoán kinh doanh,,4.271.362,9.941.389,,,4271362.0,9941389.0
2,3 > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(37.833),(16.343),,,-37833.0,-16343.0
V,3 > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,18,230.658,628,,18.0,230658.0,628.0
VI,3 > VI,VI,Cho vay khách hàng,,452.684.316,379.113.059,,,452684316.0,379113059.0
1,3 > 1,1,Cho vay khách hàng,8,460.808.468,387.722.937,,8.0,460808468.0,387722937.0
2,3 > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(8.124.152),(8.609.878),,9.0,-8124152.0,-8609878.0
VIII,3 > VIII,VIII,Chứng khoán đầu tư,,131.771.107,107.597.495,,,131771107.0,107597495.0
1,3 > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10(a),51.931.950,42.468.041,,,51931950.0,42468041.0
2,3 > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10(b),80.019.284,65.818.278,,,80019284.0,65818278.0
3,3 > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(180.127),(688.824),,,-180127.0,-688824.0
IX,3 > IX,IX,"Góp vốn, đầu tư dài hạn",,3.627.814,3.556.750,,,3627814.0,3556750.0
1,3 > 1,1,Vốn góp liên doanh,11(a),803.098,753.772,,,803098.0,753772.0
2,3 > 2,2,Đầu tư vào công ty liên kết,11(b),9.645,9.349,,,9645.0,9349.0
3,3 > 3,3,Đầu tư dài hạn khác,11(c),2.829.418,2.829.418,,,2829418.0,2829418.0
4,3 > 4,4,Dự phòng giảm giá đầu tư dài hạn,11(c),(14.347),(35.789),,,-14347.0,-35789.0
X,3 > X,X,Tài sản cố định,,5.639.382,5.039.473,,,5639382.0,5039473.0
1,3 > 1,1,Tài sản cố định hữu hình,12,3.717.046,3.385.622,,12.0,3717046.0,3385622.0
a,3 > a,a,Nguyên giá tài sản cố định,,8.621.996,7.661.735,,,8621996.0,7661735.0
b,3 > b,b,Hao mòn tài sản cố định,,(4.904.950),(4.276.113),,,-4904950.0,-4276113.0
2,3 > 2,2,Tài sản cố định vô hình,13,1.922.336,1.653.851,,13.0,1922336.0,1653851.0
a,3 > a,a,Nguyên giá tài sản cố định,,2.518.777,2.211.799,,,2518777.0,2211799.0
b,3 > b,b,Hao mòn tài sản cố định,,(596.441),(557.948),,,-596441.0,-557948.0
XII,3 > XII,XII,Tài sản Có khác,,10.800.045,9.400.447,,,10800045.0,9400447.0
1,3 > 1,1,Các khoản phải thu,14(a),2.950.677,2.953.963,,,2950677.0,2953963.0
2,3 > 2,2,"Các khoản lãi, phí phải thu",14(b),5.786.098,4.849.535,,,5786098.0,4849535.0
3,3 > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,1.943,1.943,,,1943.0,1943.0
4,3 > 4,4,Tài sản Có khác,14(c),2.062.264,1.596.073,,,2062264.0,1596073.0
5,3 > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(937),(1.067),,,-937.0,-1067.0
,,,TỔNG TÀI SẢN CÓ,,787.906.892,674.394.640,,,787906892.0,674394640.0
