row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc 31/12/2016 Triệu VND,Năm kết thúc 31/12/2015 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc 31/12/2016 Triệu VND,numeric__Năm kết thúc 31/12/2015 Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
I,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > I,I,Mua sắm tài sản cố định,,(1.272.248),(1.194.037),,,-1272248.0,-1194037.0
2,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2,2,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,7.206,5.254,,,7206.0,5254.0
3,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3,3,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",,(1.762),(2.059),,,-1762.0,-2059.0
4,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4,4,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,12.540,12.100,,,12540.0,12100.0
5,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5,5,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,-,(108.464),,,,-108464.0
6,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6,6,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,24.549,86.693,,,24549.0,86693.0
7,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7,7,Tiền thu cổ tức đã có quyết định trả cổ tức năm trước,,7.123,3.562,,,7123.0,3562.0
II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II,II,Lưu chuyển tiền sử dụng vào hoạt động đầu tư,,(1.222.592),(1.196.951),,,-1222592.0,-1196951.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
I,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > I,I,Cổ tức năm trước đã trả bằng tiền mặt,,(2.665.020),(2.665.020),,,-2665020.0,-2665020.0
III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III,III,Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,,(2.665.020),(2.665.020),,,-2665020.0,-2665020.0
IV,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV,IV,Lưu chuyển tiền thuần trong năm,,15.476.145,(10.600.143),,,15476145.0,-10600143.0
V,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,33,164.412.853,175.012.996,,33.0,164412853.0,175012996.0
VI,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI,VI,Tiền và các khoản tương đương tiền tại thời điểm cuối năm,33,179.888.998,164.412.853,,33.0,179888998.0,164412853.0
