row_label_raw,row_label_full,col_0,col_1,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Ngoại tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Ngoại tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
,,,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",7.550.927,1.594.111,296.978,250.037,9.692.053,,7550927.0,1594111.0,296978.0,250037.0,9692053.0
II,II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,11.205.807,6.176.611,-,-,17.382.418,,11205807.0,6176611.0,,,17382418.0
III,III,III,"Tiền, vàng gửi và cho vay các tổ chức tín dụng khác – gộp",96.514.300,31.313.748,16.418.418,7.599.104,151.845.570,,96514300.0,31313748.0,16418418.0,7599104.0,151845570.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,4.271.362,-,-,-,4.271.362,,4271362.0,,,,4271362.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,6.906.789,(10.435.465),3.489.440,269.894,230.658,,6906789.0,-10435465.0,3489440.0,269894.0,230658.0
VI,VI,VI,Cho vay khách hàng – gộp,379.801.538,80.404.012,183.123,419.795,460.808.468,,379801538.0,80404012.0,183123.0,419795.0,460808468.0
VIII,VIII,VIII,Chứng khoán đầu tư – gộp,76.553.734,55.397.500,-,-,131.951.234,,76553734.0,55397500.0,,,131951234.0
IX,IX,IX,Góp vốn đầu tư dài hạn – gộp,3.642.161,,-,,3.642.161,,3642161.0,,,,3642161.0
X,X,X,Tài sản cố định,5.637.958,588,-,836,5.639.382,,5637958.0,588.0,,836.0,5639382.0
XII,XII,XII,Tài sản Có khác – gộp,9.296.474,964.213,315.343,224.952,10.800.982,,9296474.0,964213.0,315343.0,224952.0,10800982.0
,,,Tổng tài sản,601.381.050,165.415.318,20.703.302,8.764.618,796.264.288,,601381050.0,165415318.0,20703302.0,8764618.0,796264288.0
,,,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
"I, II","I, II","I, II",Tiền gửi của và vay từ NHNN và các tổ chức tín dụng khác,46.629.502,59.994.725,16.029.765,3.735.826,126.389.818,,46629502.0,59994725.0,16029765.0,3735826.0,126389818.0
III,III,III,Tiền gửi của khách hàng,476.525.664,106.911.061,4.651.060,2.363.559,590.451.344,,476525664.0,106911061.0,4651060.0,2363559.0,590451344.0
VI,VI,VI,Phát hành giấy tờ có giá,10.281.161,5.215,-,-,10.286.376,,10281161.0,5215.0,,,10286376.0
VII,VII,VII,Các khoản nợ khác,11.922.863,598.144,20.141,136.696,12.677.844,,11922863.0,598144.0,20141.0,136696.0,12677844.0
,,,Tổng nợ phải trả,545.359.190,167.509.145,20.700.966,6.236.081,739.805.382,,545359190.0,167509145.0,20700966.0,6236081.0,739805382.0
,,,Trạng thái tiền tệ nội bằng,56.021.860,(2.093.827),2.336,2.528.537,56.458.906,,56021860.0,-2093827.0,2336.0,2528537.0,56458906.0
