row_label_raw,row_label_full,col_0,Namkết thúc31/12/2016Triệu VND,Namkết thúc31/12/2015Triệu VND,numeric__Namkết thúc31/12/2016Triệu VND,numeric__Namkết thúc31/12/2015Triệu VND
Thu nhập lãi cho vay khách hàng,Thu nhập lãi cho vay khách hàng,Thu nhập lãi cho vay khách hàng,29.023.501,24.306.183,29023501.0,24306183.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,1.520.970,1.199.274,1520970.0,1199274.0
"Thu lãi từ kinh doanh, đầu tư chứng khoán nợ:","Thu lãi từ kinh doanh, đầu tư chứng khoán nợ:","Thu lãi từ kinh doanh, đầu tư chứng khoán nợ:",6.563.613,5.307.039,6563613.0,5307039.0
- Thu lãi từ chứng khoán đầu tư,- Thu lãi từ chứng khoán đầu tư,- Thu lãi từ chứng khoán đầu tư,6.446.456,5.072.617,6446456.0,5072617.0
- Thu lãi từ chứng khoán kinh doanh,- Thu lãi từ chứng khoán kinh doanh,- Thu lãi từ chứng khoán kinh doanh,117.157,234.422,117157.0,234422.0
Thu nhập lãi cho thuê tài chính,Thu nhập lãi cho thuê tài chính,Thu nhập lãi cho thuê tài chính,216.949,195.092,216949.0,195092.0
Thu phí từ nghiệp vụ bảo lãnh,Thu phí từ nghiệp vụ bảo lãnh,Thu phí từ nghiệp vụ bảo lãnh,313.387,283.154,313387.0,283154.0
Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,66.752,30.117,66752.0,30117.0
Thu lãi từ nghiệp vụ mua bán nợ,Thu lãi từ nghiệp vụ mua bán nợ,Thu lãi từ nghiệp vụ mua bán nợ,8.000,39.870,8000.0,39870.0
,,,37.713.172,31.360.729,37713172.0,31360729.0
