row_label_raw,row_label_full,Ngân hàng Nhà nước Việt Nam,Mối quan hệ > Cơ quan,Năm kết thúc31/12/2016Triệu VND,Năm kết thúc31/12/2015Triệu VND,numeric__Mối quan hệ > Cơ quan,numeric__Năm kết thúc31/12/2016Triệu VND,numeric__Năm kết thúc31/12/2015Triệu VND
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,quản lý,124.475,107.562,,124475.0,107562.0
Chi phí lãi tiền gửi và tiền vay,Chi phí lãi tiền gửi và tiền vay,Chi phí lãi tiền gửi và tiền vay,,(160.765),(83.575),,-160765.0,-83575.0
Bộ Tài chính,Bộ Tài chính,Bộ Tài chính,Cơ quan,,,,,
Thu nhập lãi tiền vay,Bộ Tài chính > Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,quản lý,-,4.908,,,4908.0
Chi phí lãi tiền gửi,Bộ Tài chính > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,,(204.319),(61.536),,-204319.0,-61536.0
Chi phí lãi tiền vay,Bộ Tài chính > Chi phí lãi tiền vay,Chi phí lãi tiền vay,,(26.959),(20.694),,-26959.0,-20694.0
