row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,2.645.412.422.439,2.567.930.119.007,,100.0,,2645412422439.0,2567930119007.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,564.355.532.888,26.415.936.779,,110.0,4.0,564355532888.0,26415936779.0
1.,1.,1.,Tiền,111,,71.402.083.476,26.415.936.779,,111.0,,71402083476.0,26415936779.0
2.,2.,2.,Các khoản tương đương tiền,112,,492.953.449.412,-,,112.0,,492953449412.0,
II.,II.,II.,Các khoản phải thu ngắn hạn,130,,1.235.281.386.531,904.151.289.722,,130.0,,1235281386531.0,904151289722.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,5,817.989.408.586,397.535.163.689,,131.0,5.0,817989408586.0,397535163689.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,63.711.415.142,90.146.096.469,,132.0,7.0,63711415142.0,90146096469.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,8,194.960.000.000,133.150.000.000,,135.0,8.0,194960000000.0,133150000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,9,169.228.067.060,293.927.533.821,,136.0,9.0,169228067060.0,293927533821.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,10,(10.607.504.257),(10.607.504.257),,137.0,10.0,-10607504257.0,-10607504257.0
III.,III.,III.,Hàng tồn kho,140,11,836.539.277.621,1.535.861.013.841,,140.0,11.0,836539277621.0,1535861013841.0
1.,1.,1.,Hàng tồn kho,141,,836.539.277.621,1.535.861.013.841,,141.0,,836539277621.0,1535861013841.0
IV.,IV.,IV.,Tài sản ngắn hạn khác,150,,9.236.225.399,101.501.878.665,,150.0,,9236225399.0,101501878665.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,12,3.975.277.464,-,,151.0,12.0,3975277464.0,
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,4.956.335.086,101.197.265.816,,152.0,,4956335086.0,101197265816.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,18,304.612.849,304.612.849,,153.0,18.0,304612849.0,304612849.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,2.994.656.453.764,2.000.506.513.968,,200.0,,2994656453764.0,2000506513968.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,147.832.060.782,111.903.496.000,,210.0,,147832060782.0,111903496000.0
1.,1.,1.,Phải thu dài hạn khác,216,9,147.832.060.782,111.903.496.000,,216.0,9.0,147832060782.0,111903496000.0
II.,II.,II.,Tài sản cố định,220,,607.632.513.580,6.909.094.222,,220.0,,607632513580.0,6909094222.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,602.216.769.640,6.909.094.222,,221.0,13.0,602216769640.0,6909094222.0
,,,- Nguyên giá,222,,611.293.709.635,12.483.825.866,,222.0,,611293709635.0,12483825866.0
,,,- Giá trị hao mòn lũy kẽ,223,,(9.076.939.995),(5.574.731.644),,223.0,,-9076939995.0,-5574731644.0
2.,2.,2.,Tài sản cố định vô hình,227,,5.415.743.940,-,,227.0,,5415743940.0,
,,,- Nguyên giá,228,,5.505.499.491,-,,228.0,,5505499491.0,
,,,- Giá trị hao mòn lũy kẽ,229,,(89.755.551),-,,229.0,,-89755551.0,
III.,III.,III.,Tài sản dở dang dài hạn,240,,56.127.866.688,12.390.073.223,,240.0,,56127866688.0,12390073223.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,56.127.866.688,12.390.073.223,,242.0,14.0,56127866688.0,12390073223.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,6,1.934.379.439.272,1.867.665.804.272,,250.0,6.0,1934379439272.0,1867665804272.0
1.,1.,1.,Đầu tư vào công ty con,251,,1.405.746.250.000,1.273.926.250.000,,251.0,,1405746250000.0,1273926250000.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,528.633.189.272,504.239.554.272,,252.0,,528633189272.0,504239554272.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,-,89.500.000.000,,253.0,,,89500000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,248.684.573.442,1.638.046.251,,260.0,,248684573442.0,1638046251.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,248.684.573.442,1.638.046.251,,261.0,12.0,248684573442.0,1638046251.0
,,,TỔNG CÔNG TÀI SẢN (270=100+200),270,,5.640.068.876.203,4.568.436.632.975,,270.0,,5640068876203.0,4568436632975.0
