row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,23,1.503.441.534.204,59.020.871.924,1.0,23.0,1503441534204.0,59020871924.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,23,-,24.266.876.674,2.0,23.0,,24266876674.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,1.503.441.534.204,34.753.995.250,10.0,,1503441534204.0,34753995250.0
4. Giá vốn hàng bản và dịch vụ cung cấp,4. Giá vốn hàng bản và dịch vụ cung cấp,4. Giá vốn hàng bản và dịch vụ cung cấp,11,24,1.030.202.586.856,(310.692.959.667),11.0,24.0,1030202586856.0,-310692959667.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,473.238.947.348,345.446.954.917,20.0,,473238947348.0,345446954917.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,25,30.700.359.290,249.616.369.032,21.0,25.0,30700359290.0,249616369032.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,26,145.560.238.331,31.136.651.624,22.0,26.0,145560238331.0,31136651624.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,136.432.038.998,30.264.483.559,23.0,,136432038998.0,30264483559.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,27,15.428.005.523,-,25.0,27.0,15428005523.0,
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,27,62.142.912.653,75.251.702.610,26.0,27.0,62142912653.0,75251702610.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,280.808.150.131,488.674.969.715,30.0,,280808150131.0,488674969715.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,28,18.790.565.977,138.315.446,31.0,28.0,18790565977.0,138315446.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,4.548.496.456,19.669.683.414,32.0,,4548496456.0,19669683414.0
13. Lợi nhuận/(lỗ) khác (40=31-32),13. Lợi nhuận/(lỗ) khác (40=31-32),13. Lợi nhuận/(lỗ) khác (40=31-32),40,,14.242.069.521,(19.531.367.968),40.0,,14242069521.0,-19531367968.0
14. Tổng lợi nhuận kê toán trước thuế (50=30+40),14. Tổng lợi nhuận kê toán trước thuế (50=30+40),14. Tổng lợi nhuận kê toán trước thuế (50=30+40),50,,295.050.219.652,469.143.601.747,50.0,,295050219652.0,469143601747.0
15. Chi phí thuê thu nhập doanh nghiệp hiện hành,15. Chi phí thuê thu nhập doanh nghiệp hiện hành,15. Chi phí thuê thu nhập doanh nghiệp hiện hành,51,29,69.481.523.861,98.615.984.281,51.0,29.0,69481523861.0,98615984281.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,225.568.695.791,370.527.617.466,60.0,,225568695791.0,370527617466.0
