row_label_raw,row_label_full,"Nhà cửa, vật kiến trúc",46,numeric__46
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",08,8.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,06 - 10,
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",03 - 10,
Tài sản khác,"Thiết bị, dụng cụ quản lý > Tài sản khác",Tài sản khác,08,8.0
