row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,3.473.696.579.486,2.348.653.032.049,,300.0,,3473696579486.0,2348653032049.0
I.,I.,I.,Nợ ngắn hạn,310,,2.448.794.723.708,1.871.350.308.471,,310.0,,2448794723708.0,1871350308471.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,183.973.575.369,349.374.853.004,,311.0,15.0,183973575369.0,349374853004.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,16,610.736.838.580,-,,312.0,16.0,610736838580.0,
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,59.232.922.567,70.330.802.437,,313.0,18.0,59232922567.0,70330802437.0
4.,4.,4.,Phải trả người lao động,314,,6.579.368.702,5.296.582.256,,314.0,,6579368702.0,5296582256.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,17,460.709.419.135,115.172.947.458,,315.0,17.0,460709419135.0,115172947458.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,831.625.709,-,,318.0,,831625709.0,
7.,7.,7.,Phải trả ngắn hạn khác,319,19,57.094.373.510,762.755.437.309,,319.0,19.0,57094373510.0,762755437309.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,20,1.046.656.600.136,568.419.686.007,,320.0,20.0,1046656600136.0,568419686007.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,22.980.000.000,-,,322.0,,22980000000.0,
II.,II.,II.,Nợ dài hạn,330,,1.024.901.855.778,477.302.723.578,,330.0,,1024901855778.0,477302723578.0
1.,1.,1.,Phải trả dài hạn khác,337,19,110.511.312.300,81.407.290.000,,337.0,19.0,110511312300.0,81407290000.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,21,914.390.543.478,395.895.433.578,,338.0,21.0,914390543478.0,395895433578.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,2.166.372.296.717,2.219.783.600.926,,400.0,,2166372296717.0,2219783600926.0
I.,I.,I.,Vốn chủ sở hữu,410,22,2.166.372.296.717,2.219.783.600.926,,410.0,22.0,2166372296717.0,2219783600926.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,1.600.000.000.000,1.600.000.000.000,,411.0,,1600000000000.0,1600000000000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,15.177.859.740,15.177.859.740,,418.0,,15177859740.0,15177859740.0
3.,3.,3.,Quỹ khác thuộc vốn chủ sở hữu,420,,7.588.929.869,7.588.929.869,,420.0,,7588929869.0,7588929869.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,543.605.507.108,597.016.811.317,,421.0,,543605507108.0,597016811317.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,318.036.811.317,226.489.193.851,,,,318036811317.0,226489193851.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,225.568.695.791,370.527.617.466,,,,225568695791.0,370527617466.0
,,,TỔNG CÔNG NGUỒN VỐN(440=300+400),440,,5.640.068.876.203,4.568.436.632.975,,440.0,,5640068876203.0,4568436632975.0
