row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VNDGiảm,Trong năm > VNDPhân bổchi phí phát hành,Số cuối năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VNDGiảm,numeric__Trong năm > VNDPhân bổchi phí phát hành,numeric__Số cuối năm > VNDGiá trị/Số có khả năng trả nợ
Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),Ngân hàng TNHH Indovina - Chi nhánh Thiên Long (i),561.019.686.007,554.565.085.811,661.019.686.007,-,454.565.085.811,561019686007.0,554565085811.0,661019686007.0,,454565085811.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Đại La (ii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Đại La (ii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Đại La (ii),-,10.210.485.862,-,-,10.210.485.862,,10210485862.0,,,10210485862.0
Vay của đối tượng khác (iii),Vay của đối tượng khác (iii),Vay của đối tượng khác (iii),7.400.000.000,374.100.000.000,198.000.000.000,-,183.500.000.000,7400000000.0,374100000000.0,198000000000.0,,183500000000.0
Trái phiếu đến kỳ hạn (xem Thuyết minh số 21),Trái phiếu đến kỳ hạn (xem Thuyết minh số 21),Trái phiếu đến kỳ hạn (xem Thuyết minh số 21),-,395.895.433.578,-,2.485.594.885,398.381.028.463,,395895433578.0,,2485594885.0,398381028463.0
,,,568.419.686.007,1.334.771.005.251,859.019.686.007,2.485.594.885,1.046.656.600.136,568419686007.0,1334771005251.0,859019686007.0,2485594885.0,1046656600136.0
