row_label_raw,row_label_full,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Tây Hà Nội (i),Số đầu năm > VNDGiá trị/Số có khả năng trả nợ > -,Trong năm > Tăng > 216.717.589.179,Trong năm > Viảm > -,Số cuối năm > ViảnGiá trị/Số có khả năng trả nợ > 216.717.589.179,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ > -,numeric__Trong năm > Tăng > 216.717.589.179,numeric__Trong năm > Viảm > -,numeric__Số cuối năm > ViảnGiá trị/Số có khả năng trả nợ > 216.717.589.179
Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),395.895.433.578,996.320.000.000,296.161.450.816,1.096.053.982.762,395895433578.0,996320000000.0,296161450816.0,1096053982762.0
- Mệnh giá,- Mệnh giá,- Mệnh giá,400.000.000.000,1.000.000.000.000,300.000.000.000,1.100.000.000.000,400000000000.0,1000000000000.0,300000000000.0,1100000000000.0
- Chi phí phát hành,- Chi phí phát hành,- Chi phí phát hành,(4.104.566.422),(3.680.000.000),(3.838.549.184),(3.946.017.238),-4104566422.0,-3680000000.0,-3838549184.0,-3946017238.0
,,,395.895.433.578,1.213.037.589.179,296.161.450.816,1.312.771.571.941,395895433578.0,1213037589179.0,296161450816.0,1312771571941.0
