row_label_raw,row_label_full,Tên công ty,Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết nằm giữ (%),Hoạt động kinh doanh chính,numeric__Tỷ lệ sở hữu (%),numeric__Tỷ lệ quyền biểu quyết nằm giữ (%),numeric__Hoạt động kinh doanh chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,Công ty con > Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,100%,100%,Kinh doanh bất động sản,1.0,1.0,
Công ty Cổ phần Đầu tư Văn Phú số 1,Công ty con > Công ty Cổ phần Đầu tư Văn Phú số 1,Công ty Cổ phần Đầu tư Văn Phú số 1,67%,67%,"Kinh doanh bất động sản, xây lắp",0.67,0.67,
Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty con > Công ty Cổ phần Đầu tư Văn Phú số 2,Công ty Cổ phần Đầu tư Văn Phú số 2,"78,50%","78,50%",Kinh doanh bất động sản,0.785,0.785,
Công ty TNHH Văn Phú - CGM,Công ty con > Công ty TNHH Văn Phú - CGM,Công ty TNHH Văn Phú - CGM,100%,100%,"Thi công xây lắp, kinh doanh bất động sản",1.0,1.0,
Công ty Cổ phần Văn Phú Bắc Ái,Công ty con > Công ty Cổ phần Văn Phú Bắc Ái,Công ty Cổ phần Văn Phú Bắc Ái,60%,60%,Kinh doanh bất động sản,0.6,0.6,
Công ty Cổ phần Văn Phú Homes,Công ty con > Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,"62,64%","59,52%","Tư vấn, môi giới, đầu giá bất động sản",0.6264,0.5952000000000001,
Công ty TNHH Văn Phú Resort - Lộc Bình,Công ty con > Công ty TNHH Văn Phú Resort - Lộc Bình,Công ty TNHH Văn Phú Resort - Lộc Bình,100%,100%,Kinh doanh bất động sản,1.0,1.0,
Công ty TNHH Nông dược Trường Minh,Công ty con > Công ty TNHH Nông dược Trường Minh,Công ty TNHH Nông dược Trường Minh,100%,100%,Nhân giống và chăm sóc cây giống,1.0,1.0,
Công ty Cổ phần Union Success Việt Nam (sở hữu thông qua Công ty Cổ phần Đầu tư Văn Phú số 2),Công ty con > Công ty Cổ phần Union Success Việt Nam (sở hữu thông qua Công ty Cổ phần Đầu tư Văn Phú số 2),Công ty Cổ phần Union Success Việt Nam (sở hữu thông qua Công ty Cổ phần Đầu tư Văn Phú số 2),"54,95%","54,95%",Kinh doanh bất động sản,0.5495,0.5495,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty liên kết > Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,35%,35%,Kinh doanh bất động sản,0.35,0.35,
Công ty Cổ phần Đầu tư BOT Hà Nội - Công ty Cổ phần In và Văn hóa phẩm,Công ty liên kết > Công ty Cổ phần Đầu tư BOT Hà Nội - Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần Đầu tư BOT Hà Nội - Công ty Cổ phần In và Văn hóa phẩm,33%,33%,Xây dựng và thu phí,0.33,0.33,
Công ty Cổ phần Đầu tư BOT Hà Nội - Công ty Cổ phần In và Văn hóa phẩm,Công ty liên kết > Công ty Cổ phần Đầu tư BOT Hà Nội - Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần Đầu tư BOT Hà Nội - Công ty Cổ phần In và Văn hóa phẩm,"46,77%","46,77%",Xây dựng và in ăn,0.4677,0.4677,
Công ty TNHH BT Hà Đông,Công ty liên kết > Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,"52,49%",50%,Xây dựng công trình kỹ thuật dân dụng,0.5249,0.5,
Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty liên kết > Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,"43,90%","43,90%","Tư vấn, môi giới, đầu giá bất động sản",0.439,0.439,
