row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,"Máy móc, thiết bị VND",Phương tiện vận tải VND,"Thiết bị, dụng cụ quản lý VND",Tài sản khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,"numeric__Máy móc, thiết bị VND",numeric__Phương tiện vận tải VND,"numeric__Thiết bị, dụng cụ quản lý VND",numeric__Tài sản khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,-,-,11.209.444.663,1.274.381.203,-,12.483.825.866,,,11209444663.0,1274381203.0,,12483825866.0
Mua sắm trong năm,NGUYÊN GIÁ > Mua sắm trong năm,Mua sắm trong năm,-,-,3.699.589.090,1.732.526.000,-,5.432.115.090,,,3699589090.0,1732526000.0,,5432115090.0
Đầu tư xây dựng cơ bản hoàn thành (*),NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành (*),Đầu tư xây dựng cơ bản hoàn thành (*),580.180.516.407,5.469.853.015,-,-,9.038.686.530,594.689.055.952,580180516407.0,5469853015.0,,,9038686530.0,594689055952.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.311.287.273),-,-,(1.311.287.273),,,-1311287273.0,,,-1311287273.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,580.180.516.407,5.469.853.015,13.597.746.480,3.006.907.203,9.038.686.530,611.293.709.635,580180516407.0,5469853015.0,13597746480.0,3006907203.0,9038686530.0,611293709635.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,-,4.651.694.027,923.037.617,-,5.574.731.644,,,4651694027.0,923037617.0,,5574731644.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,1.054.873.666,123.931.818,1.990.780.980,466.830.730,120.763.679,3.757.180.873,1054873666.0,123931818.0,1990780980.0,466830730.0,120763679.0,3757180873.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(254.972.522),-,-,(254.972.522),,,-254972522.0,,,-254972522.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.054.873.666,123.931.818,6.387.502.485,1.389.868.347,120.763.679,9.076.939.995,1054873666.0,123931818.0,6387502485.0,1389868347.0,120763679.0,9076939995.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,-,-,6.557.750.636,351.343.586,-,6.909.094.222,,,6557750636.0,351343586.0,,6909094222.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,579.125.642.741,5.345.921.197,7.210.243.995,1.617.038.856,8.917.922.851,602.216.769.640,579125642741.0,5345921197.0,7210243995.0,1617038856.0,8917922851.0,602216769640.0
