row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,3.868.211.430.293,3.868.211.430.293,2.529.860.805.119,2.529.860.805.119,3868211430293.0,3868211430293.0,2529860805119.0,2529860805119.0
Tập đoàn Samsung C&T,Tập đoàn Samsung C&T,Tập đoàn Samsung C&T,1.157.491.072.304,1.157.491.072.304,729.131.176.221,729.131.176.221,1157491072304.0,1157491072304.0,729131176221.0,729131176221.0
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,890.424.236.375,890.424.236.375,262.131.657.272,262.131.657.272,890424236375.0,890424236375.0,262131657272.0,262131657272.0
Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,669.737.859.004,669.737.859.004,728.485.049.095,728.485.049.095,669737859004.0,669737859004.0,728485049095.0,728485049095.0
Công ty Cổ phần Tổng công ty Phát triển năng lượng Nghệ An,Công ty Cổ phần Tổng công ty Phát triển năng lượng Nghệ An,Công ty Cổ phần Tổng công ty Phát triển năng lượng Nghệ An,181.200.000.000,181.200.000.000,-,-,181200000000.0,181200000000.0,,
Siemens Engergy Global GmbH & Co. KG,Siemens Engergy Global GmbH & Co. KG,Siemens Engergy Global GmbH & Co. KG,90.148.277.384,90.148.277.384,184.739.861.336,184.739.861.336,90148277384.0,90148277384.0,184739861336.0,184739861336.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,62.040.217.390,62.040.217.390,94.619.629.221,94.619.629.221,62040217390.0,62040217390.0,94619629221.0,94619629221.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,817.169.767.836,817.169.767.836,530.753.431.974,530.753.431.974,817169767836.0,817169767836.0,530753431974.0,530753431974.0
b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 38),b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 38),b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 38),11.857.936.977.858,11.857.936.977.858,13.417.341.662.024,13.417.341.662.024,11857936977858.0,11857936977858.0,13417341662024.0,13417341662024.0
,,,15.726.148.408.151,15.726.148.408.151,15.947.202.467.143,15.947.202.467.143,15726148408151.0,15726148408151.0,15947202467143.0,15947202467143.0
