row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,45.234.397.818.896,36.242.661.143.689,300.0,,45234397818896.0,36242661143689.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,33.457.348.745.405,26.785.158.579.904,310.0,,33457348745405.0,26785158579904.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,17,15.726.148.408.151,15.947.202.467.143,311.0,17.0,15726148408151.0,15947202467143.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,18,89.082.366.712,900.883.584,312.0,18.0,89082366712.0,900883584.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,19,76.295.032.123,171.480.883.664,313.0,19.0,76295032123.0,171480883664.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,333.831.322.301,286.804.533.596,314.0,,333831322301.0,286804533596.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,20,1.534.677.045.840,1.361.848.076.612,315.0,20.0,1534677045840.0,1361848076612.0
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,21,1.467.933.381.631,2.688.405.796.712,319.0,21.0,1467933381631.0,2688405796712.0
7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,320,22,13.508.102.547.690,5.506.591.086.310,320.0,22.0,13508102547690.0,5506591086310.0
8. Dự phòng phải trả ngắn hạn,8. Dự phòng phải trả ngắn hạn,8. Dự phòng phải trả ngắn hạn,321,23,553.193.180.684,717.886.349.870,321.0,23.0,553193180684.0,717886349870.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,,168.085.460.273,104.038.502.413,322.0,,168085460273.0,104038502413.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,11.777.049.073.491,9.457.502.563.785,330.0,,11777049073491.0,9457502563785.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,21,491.146.032,548.807.593,337.0,21.0,491146032.0,548807593.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,22,9.151.300.727.761,7.172.278.203.632,338.0,22.0,9151300727761.0,7172278203632.0
3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,341,15,4.444.869.270,3.163.733.986,341.0,15.0,4444869270.0,3163733986.0
4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,342,23,2.506.592.715.754,2.163.968.976.771,342.0,23.0,2506592715754.0,2163968976771.0
5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,343,,114.219.614.674,117.542.841.803,343.0,,114219614674.0,117542841803.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,34.680.634.910.666,34.119.429.170.920,400.0,,34680634910666.0,34119429170920.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,24,34.680.634.910.666,34.119.429.170.920,410.0,24.0,34680634910666.0,34119429170920.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,23.418.716.000.000,23.418.716.000.000,411.0,,23418716000000.0,23418716000000.0
- Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,411a,,23.418.716.000.000,23.418.716.000.000,,,23418716000000.0,23418716000000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,(274.807.025),(274.807.025),412.0,,-274807025.0,-274807025.0
3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,414,,225.720.372.645,225.720.372.645,414.0,,225720372645.0,225720372645.0
