row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Số đầu năm > Tăng,Trong năm > (Giảm),Trong năm > VND Tăng/(Giảm) chênh lệch tỷ giá,Trong năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Trong năm > (Giảm),numeric__Trong năm > VND Tăng/(Giảm) chênh lệch tỷ giá,numeric__Trong năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,4.866.011.818.478,4.866.011.818.478,27.243.032.426.977,(19.744.709.500.083),(17.894.264.191),12.346.440.481.181,12.346.440.481.181,4866011818478.0,4866011818478.0,27243032426977.0,-19744709500083.0,-17894264191.0,12346440481181.0,12346440481181.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,640.579.267.832,640.579.267.832,1.242.819.569.037,(745.563.827.832),23.827.057.472,1.161.662.066.509,1.161.662.066.509,640579267832.0,640579267832.0,1242819569037.0,-745563827832.0,23827057472.0,1161662066509.0,1161662066509.0
,,,5.506.591.086.310,5.506.591.086.310,28.485.851.996.014,(20.490.273.327.915),5.932.793.281,13.508.102.547.690,13.508.102.547.690,5506591086310.0,5506591086310.0,28485851996014.0,-20490273327915.0,5932793281.0,13508102547690.0,13508102547690.0
