row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tại ngày 01 tháng 01 năm 2023,Tại ngày 01 tháng 01 năm 2023,Tại ngày 01 tháng 01 năm 2023,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),3.643.183.139.1923,420.458.998.6952,2764.952.526.8303,3281.450.502.337,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,36431831391923.0,4204589986952.0,27649525268303.0,3281450502337.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-1.038.363.942.297,-1.038.363.942.297,244.578.199.121,1.282.942.141.418,,,,,-1038363942297.0,-1038363942297.0,244578199121.0,1282942141418.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,396.176.559.571,(396.176.559.571),-,-,,,,,396176559571.0,-396176559571.0,,
"Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý",-,-,-,-,-,(153.061.259.069),(17.904.893.506),(170.966.152.575),,,,,,-153061259069.0,-17904893506.0,-170966152575.0
Nhận thêm vốn góp trong năm,Nhận thêm vốn góp trong năm,Nhận thêm vốn góp trong năm,-,-,-,-,-,-,81.900.000.000,81.900.000.000,,,,,,,81900000000.0,81900000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(367.690.547.917),(367.690.547.917),,,,,,,-367690547917.0,-367690547917.0
Ảnh hưởng do thay đối tỷ lệ sở hữu công ty con,Ảnh hưởng do thay đối tỷ lệ sở hữu công ty con,Ảnh hưởng do thay đối tỷ lệ sở hữu công ty con,-,-,-,-,-,1.275.001.243,(1.275.001.243),-,,,,,,1275001243.0,-1275001243.0,
Tăng/(Giám) khác,Tăng/(Giám) khác,Tăng/(Giám) khác,-,-,-,-,-,11.794.384.157,(1.156.500),11.793.227.657,,,,,,11794384157.0,-1156500.0,11793227657.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),4.039.359.698.7633,922.654.507.7522,704.559.126.7853,4119.429.170.920,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,40393596987633.0,9226545077522.0,7045591267853.0,4119429170920.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-1.111.588.278.970,99.753.676.196,1.211.341.955.166,,,,,,-1111588278970.0,99753676196.0,1211341955166.0
Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),-,-,-,-,386.721.644.015,(386.721.644.015),-,-,,,,,386721644015.0,-386721644015.0,,
"Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)","Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)","Tạm trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (i)",-,-,-,-,-,(214.401.831.301),(17.122.349.703),(231.524.181.004),,,,,,-214401831301.0,-17122349703.0,-231524181004.0
Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV (ii),Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV (ii),Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV (ii),-,-,-,-,-,(284.118.912.232),-,(284.118.912.232),,,,,,-284118912232.0,,-284118912232.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(134.133.414.578),(134.133.414.578),,,,,,,-134133414578.0,-134133414578.0
Nhận thêm vốn góp trong năm,Nhận thêm vốn góp trong năm,Nhận thêm vốn góp trong năm,-,-,-,-,-,-,21.000.000.000,21.000.000.000,,,,,,,21000000000.0,21000000000.0
Ảnh hưởng do thay đối tỷ lệ sở hữu công ty con,Ảnh hưởng do thay đối tỷ lệ sở hữu công ty con,Ảnh hưởng do thay đối tỷ lệ sở hữu công ty con,-,-,-,-,-,(1.627.201.809),1.627.201.809,-,,,,,,-1627201809.0,1627201809.0,
Giám khác,Giám khác,Giám khác,-,-,-,-,-,(17.098.355.420),(4.261.352.186),(21.359.707.606),,,,,,-17098355420.0,-4261352186.0,-21359707606.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),4.426.081.342.7784,130.274.841.9452,671.422.888.3233,4680.634.910.666,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,44260813427784.0,1302748419452.0,6714228883233.0,4680634910666.0
