row_label_raw,row_label_full,col_0,Giá gốc,Điều chỉnh theo phương pháp vốn chủ sở hữu,Giá trị theo phương pháp vốn chủ sở hữu,numeric__Giá gốc,numeric__Điều chỉnh theo phương pháp vốn chủ sở hữu,numeric__Giá trị theo phương pháp vốn chủ sở hữu
,,,VND,VND,VND,,,
Công ty Cổ phần Năng lượng Sông Hồng,Công ty Cổ phần Năng lượng Sông Hồng,Công ty Cổ phần Năng lượng Sông Hồng,32.887.500.000,29.224.891.751,62.112.391.751,32887500000.0,29224891751.0,62112391751.0
Công ty Cổ phần Điện khí LNG Quảng Ninh,Công ty Cổ phần Điện khí LNG Quảng Ninh,Công ty Cổ phần Điện khí LNG Quảng Ninh,30.000.000.000,(3.974.681.734),26.025.318.266,30000000000.0,-3974681734.0,26025318266.0
,,,62.887.500.000,25.250.210.017,88.137.710.017,62887500000.0,25250210017.0,88137710017.0
