row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,18.101.690.974,18.101.690.974,,,18101690974.0,18101690974.0
Thuế khác,a. Các khoản phải thu > Thuế khác,Thuế khác,-,-,54,54,,,54.0,54.0
,,,-,-,18.101.691.028,18.101.691.028,,,18101691028.0,18101691028.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,42.199.302.380,582.229.174.397,610.474.278.024,13.954.198.753,42199302380.0,582229174397.0,610474278024.0,13954198753.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,97.990.648.044,170.618.923.907,240.606.633.743,28.002.938.208,97990648044.0,170618923907.0,240606633743.0,28002938208.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,13.016.725.786,164.321.519.254,167.584.586.966,9.753.658.074,13016725786.0,164321519254.0,167584586966.0,9753658074.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.640.146.797,72.479.006.893,67.428.679.608,12.690.474.082,7640146797.0,72479006893.0,67428679608.0,12690474082.0
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,28.108.064.704,28.108.064.704,-,,28108064704.0,28108064704.0,
"Các khoản thuế, phí khác","b. Các khoản phải trả > Các khoản thuế, phí khác","Các khoản thuế, phí khác",10.634.060.657,149.666.771.657,148.407.069.308,11.893.763.006,10634060657.0,149666771657.0,148407069308.0,11893763006.0
,,,171.480.883.664,1.167.423.460.812,1.262.609.312.353,76.295.032.123,171480883664.0,1167423460812.0,1262609312353.0,76295032123.0
