row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,18.208.585.844.073,48.887.334.549.569,332.470.279.043,237.747.214.982,2.136.984.694.834,69.803.122.582.501,18208585844073.0,48887334549569.0,332470279043.0,237747214982.0,2136984694834.0,69803122582501.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,470.164.102.975,181.408.450.678,7.008.585.434,17.473.446.499,1.196.549.374,677.251.134.960,470164102975.0,181408450678.0,7008585434.0,17473446499.0,1196549374.0,677251134960.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,17.987.297.154,38.964.161.376,-,4.466.101.270,-,61.417.559.800,17987297154.0,38964161376.0,,4466101270.0,,61417559800.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.051.542.500),(3.144.246.398),(2.737.880.848),-,(6.933.669.746),,-1051542500.0,-3144246398.0,-2737880848.0,,-6933669746.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,(4.080.000.000),8.582.361.454,(4.502.361.454),-,-,,-4080000000.0,8582361454.0,-4502361454.0,,
Tăng/(giảm) khác,NGUYÊN GIÁ > Tăng/(giảm) khác,Tăng/(giảm) khác,141.620.456,(1.186.324),-,-,-,140.434.132,141620456.0,-1186324.0,,,,140434132.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,18.696.878.864.658,49.102.574.432.799,344.916.979.533,252.446.520.449,2.138.181.244.208,70.534.998.041.647,18696878864658.0,49102574432799.0,344916979533.0,252446520449.0,2138181244208.0,70534998041647.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,8.563.800.626.159,33.700.768.248.915,276.749.018.333,186.103.004.534,713.281.326.201,43.440.702.224.142,8563800626159.0,33700768248915.0,276749018333.0,186103004534.0,713281326201.0,43440702224142.0
Trích khấu hao vào chi phí trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao vào chi phí trong năm,Trích khấu hao vào chi phí trong năm,796.197.373.408,1.895.869.553.861,13.238.316.637,19.315.326.671,89.967.858.883,2.814.588.429.460,796197373408.0,1895869553861.0,13238316637.0,19315326671.0,89967858883.0,2814588429460.0
