row_label_raw,row_label_full,col_0,Lĩnh vựcngân hàng,Lĩnh vựcquản lý nợvà khai thắc tài sản,Loại trừ,Cộng,numeric__Lĩnh vựcngân hàng,numeric__Lĩnh vựcquản lý nợvà khai thắc tài sản,numeric__Loại trừ,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Thu nhập,Năm nay > Thu nhập,Thu nhập,10.100.107,80.807,(66.269),10.114.645,10100107.0,80807.0,-66269.0,10114645.0
Chi phí,Năm nay > Chi phí,Chi phí,7.704.856,69.570,(61.124),7.713.302,7704856.0,69570.0,-61124.0,7713302.0
Chi phí khấu hao tài sản cố định,Năm nay > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,78.412,235,-,78.647,78412.0,235.0,,78647.0
Lợi nhuận trước thuế,Năm nay > Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.316.839,11.002,(5.145),2.322.696,2316839.0,11002.0,-5145.0,2322696.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Thu nhập,Năm trước > Thu nhập,Thu nhập,8.356.077,58.146,(44.446),8.369.777,8356077.0,58146.0,-44446.0,8369777.0
Chi phí,Năm trước > Chi phí,Chi phí,7.164.679,51.481,(40.080),7.176.080,7164679.0,51481.0,-40080.0,7176080.0
Chi phí khấu hao tài sản cố định,Năm trước > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,81.405,234,-,81.639,81405.0,234.0,,81639.0
Lợi nhuận trước thuế,Năm trước > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.109.993,6.431,(4.366),1.112.058,1109993.0,6431.0,-4366.0,1112058.0
