row_label_raw,row_label_full,Số cuối năm,Tổng giá trị hợp đồng (theo tỷ giá tại ngày hiệu lực hợp đồng) > Số cuối năm,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày cuối năm) > Tài sản > Số cuối năm,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày cuối năm) > Công nợ > Số cuối năm,numeric__Tổng giá trị hợp đồng (theo tỷ giá tại ngày hiệu lực hợp đồng) > Số cuối năm,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày cuối năm) > Tài sản > Số cuối năm,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày cuối năm) > Công nợ > Số cuối năm
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,6.096.401,268.551,-,6096401.0,268551.0,
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,3.876.300,-,44.019,3876300.0,,44019.0
Cộng,Cộng,Cộng,9.972.701,268.551,44.019,9972701.0,268551.0,44019.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Giao dịch hoán đổi tiền tệ,Số đầu năm > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,1.944.849,-,106.071,1944849.0,,106071.0
Giao dịch kỳ hạn tiền tệ,Số đầu năm > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,246.795,-,6.405,246795.0,,6405.0
Cộng,Số đầu năm > Cộng,Cộng,2.191.644,-,112.476,2191644.0,,112476.0
