row_label_raw,row_label_full,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền_1,Tiền và các khoản tương đương tiền_2,numeric__Tiền và các khoản tương đương tiền_1,numeric__Tiền và các khoản tương đương tiền_2
,,,Số cuối năm,Số đầu năm,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",602.139,538.410,602139.0,538410.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,5.803.001,4.207.486,5803001.0,4207486.0
"Tiền gửi thanh toán, tiền gửi và cho vay các TCTD khác có kỳ hạn trong vòng 3 tháng","Tiền gửi thanh toán, tiền gửi và cho vay các TCTD khác có kỳ hạn trong vòng 3 tháng","Tiền gửi thanh toán, tiền gửi và cho vay các TCTD khác có kỳ hạn trong vòng 3 tháng",16.164.800,15.504.604,16164800.0,15504604.0
Cộng,Cộng,Cộng,22.569.940,20.250.500,22569940.0,20250500.0
