row_label_raw,row_label_full,col_0,Vốn điều lệ,Cổ phiếu quỹ,Các quỹ của TCTD,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn điều lệ,numeric__Cổ phiếu quỹ,numeric__Các quỹ của TCTD,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.652.819,(34.200),487.740,1.651.199,5.757.558,3652819.0,-34200.0,487740.0,1651199.0,5757558.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,887.494,887.494,,,,887494.0,887494.0
Trích các quỹ dự trữ bắt buộc trong năm trước từ lợi nhuận sau thuế năm 2023,Trích các quỹ dự trữ bắt buộc trong năm trước từ lợi nhuận sau thuế năm 2023,Trích các quỹ dự trữ bắt buộc trong năm trước từ lợi nhuận sau thuế năm 2023,-,-,86.098,(86.098),-,,,86098.0,-86098.0,
"Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023","Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023","Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023",-,-,-,(40.100),(40.100),,,,-40100.0,-40100.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.652.819,(34.200),573.838,2.412.495,6.604.952,3652819.0,-34200.0,573838.0,2412495.0,6604952.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.652.819,(34.200),573.838,2.412.495,6.604.952,3652819.0,-34200.0,573838.0,2412495.0,6604952.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,1.856.178,1.856.178,,,,1856178.0,1856178.0
Tăng vốn từ lợi nhuận chưa phân phối (i),Tăng vốn từ lợi nhuận chưa phân phối (i),Tăng vốn từ lợi nhuận chưa phân phối (i),2.168.886,-,-,(2.168.886),-,2168886.0,,,-2168886.0,
Trích các quỹ dự trữ bắt buộc trong năm nay từ lợi nhuận sau thuế năm 2024,Trích các quỹ dự trữ bắt buộc trong năm nay từ lợi nhuận sau thuế năm 2024,Trích các quỹ dự trữ bắt buộc trong năm nay từ lợi nhuận sau thuế năm 2024,-,-,177.500,(177.500),-,,,177500.0,-177500.0,
"Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024","Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024","Trích lập quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024",-,-,-,(44.627),(44.627),,,,-44627.0,-44627.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.821.705,(34.200),751.338,1.877.660,8.416.503,5821705.0,-34200.0,751338.0,1877660.0,8416503.0
