row_label_raw,row_label_full,col_0,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 – 3 tháng,Từ 3 – 6 tháng,Từ 6 – 12 tháng,Từ 1 – 5 năm,Trên 5 năm,Cộng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 – 3 tháng,numeric__Từ 3 – 6 tháng,numeric__Từ 6 – 12 tháng,numeric__Từ 1 – 5 năm,numeric__Trên 5 năm,numeric__Cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,538.410,-,-,-,-,-,-,538.410,,538410.0,,,,,,,538410.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.207.486,-,-,-,-,-,4.207.486,,,4207486.0,,,,,,4207486.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,14.997.374,507.230,-,-,-,-,15.504.604,,,14997374.0,507230.0,,,,,15504604.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),2.078.249,-,4.398.566,8.757.328,9.354.532,17.886.754,16.240.335,2.716.145,61.431.909,2078249.0,,4398566.0,8757328.0,9354532.0,17886754.0,16240335.0,2716145.0,61431909.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,-,-,-,2.973.962,2.973.962,,,,,,,,2973962.0,2973962.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.414.961,-,-,-,-,-,-,1.414.961,,1414961.0,,,,,,,1414961.0
Các tài sản Có khác (*),Tài sản > Các tài sản Có khác (*),Các tài sản Có khác (*),57.461,7.127.178,-,-,-,-,-,-,7.184.639,57461.0,7127178.0,,,,,,,7184639.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.135.710,9.080.549,23.603.426,9.264.558,9.354.532,17.886.754,16.240.335,5.690.107,93.255.971,2135710.0,9080549.0,23603426.0,9264558.0,9354532.0,17886754.0,16240335.0,5690107.0,93255971.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,-,-,14.610.205,507.080,-,-,7.601,661,15.125.547,,,14610205.0,507080.0,,,7601.0,661.0,15125547.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,15.809.468,17.946.934,19.324.417,9.969.385,470.363,927,63.521.494,,,15809468.0,17946934.0,19324417.0,9969385.0,470363.0,927.0,63521494.0
Các công cụ tài chính phải sinh và nợ phải trả tài chính khác (*),Nợ phải trả > Các công cụ tài chính phải sinh và nợ phải trả tài chính khác (*),Các công cụ tài chính phải sinh và nợ phải trả tài chính khác (*),-,-,112.476,-,-,-,-,-,112.476,,,112476.0,,,,,,112476.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,1.881.256,-,2.047.201,3.928.457,,,,,,1881256.0,,2047201.0,3928457.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.883.342,-,-,-,-,-,-,2.883.342,,2883342.0,,,,,,,2883342.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,2.883.342,30.532.149,18.454.014,19.324.417,11.850.641,477.964,2.048.789,85.571.316,,2883342.0,30532149.0,18454014.0,19324417.0,11850641.0,477964.0,2048789.0,85571316.0
Mức chênh nhạy cảm với lãi suất – nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất – nội bằng,Mức chênh nhạy cảm với lãi suất – nội bằng,2.135.710,6.197.207,(6.928.723),(9.189.456),(9.969.885),6.036.113,15.762.371,3.641.318,7.684.655,2135710.0,6197207.0,-6928723.0,-9189456.0,-9969885.0,6036113.0,15762371.0,3641318.0,7684655.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với Lãi suất của các Tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với Lãi suất của các Tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với Lãi suất của các Tài sản và công nợ (ròng),-,(8.134.269),-,-,-,-,-,-,(8.134.269),,-8134269.0,,,,,,,-8134269.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",2.135.710,(1.937.062),(6.928.723),(9.189.456),(9.969.885),6.036.113,15.762.371,3.641.318,(449.614),2135710.0,-1937062.0,-6928723.0,-9189456.0,-9969885.0,6036113.0,15762371.0,3641318.0,-449614.0
