row_label_raw,row_label_full,Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tình hình tài chính hợp nhất,Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tình hình tài chính hợp nhất,Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tình hình tài chính hợp nhất,numeric__Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tình hình tài chính hợp nhất,numeric__Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tình hình tài chính hợp nhất
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,5.803.001,4.207.486,5803001.0,4207486.0
Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,16.164.800,15.504.604,16164800.0,15504604.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,224.532,-,224532.0,
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,71.587.702,61.431.909,71587702.0,61431909.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,3.013.321,2.973.962,3013321.0,2973962.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",1.806.299,1.393.393,1806299.0,1393393.0
Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,3.230.803,5.243.181,3230803.0,5243181.0
Cộng,Cộng,Cộng,101.830.458,90.754.535,101830458.0,90754535.0
Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,,
Cam kết trong nghiệp vụ L/C – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,4.004.158,4.005.233,4004158.0,4005233.0
Bảo lãnh khác – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng > Bảo lãnh khác – gộp,Bảo lãnh khác – gộp,1.713.319,4.129.036,1713319.0,4129036.0
Cộng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng > Cộng,Cộng,5.717.477,8.134.269,5717477.0,8134269.0
