row_label_raw,row_label_full,col_0,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,24.135.324,19.993.283,,24135324.0,19993283.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Chi phí lãi và các chi phí tương tự đã trả,(13.058.436),(11.327.835),,-13058436.0,-11327835.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Thu nhập từ hoạt động dịch vụ nhận được,1.497.526,1.188.331,,1497526.0,1188331.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",385.448,532.644,,385448.0,532644.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Thu nhập khác,44.701,521.423,,44701.0,521423.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,"Tiền thu các khoản nợ đã được xử lý xóa, bù đáp bằng nguồn rủi ro",1.765.163,369.312,,1765163.0,369312.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,Tiền chi trả cho nhân viên và hoạt động quản lý,(6.472.031),(4.920.839),,-6472031.0,-4920839.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(1.152.435),(557.841),,-1152435.0,-557841.0
LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỔI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỔI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỔI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,7.145.260,5.798.478,,7145260.0,5798478.0,
