row_label_raw,row_label_full,31 tháng 12 năm 2018,Miền BắcTriệu VND > 31 tháng 12 năm 2018,Miền TrungTriệu VND > 31 tháng 12 năm 2018,Miền NamTriệu VND > 31 tháng 12 năm 2018,Loại trừTriệu VND > 31 tháng 12 năm 2018,Tổng cộngTriệu VND > 31 tháng 12 năm 2018,numeric__Miền BắcTriệu VND > 31 tháng 12 năm 2018,numeric__Miền TrungTriệu VND > 31 tháng 12 năm 2018,numeric__Miền NamTriệu VND > 31 tháng 12 năm 2018,numeric__Loại trừTriệu VND > 31 tháng 12 năm 2018,numeric__Tổng cộngTriệu VND > 31 tháng 12 năm 2018
Tải sản,Tải sản,Tải sản,62.894.523,29.183.059,343.578.555,(106.322.896),329.333.241,62894523.0,29183059.0,343578555.0,-106322896.0,329333241.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,61.808.122,28.846.588,321.716.194,(104.055.562),308.315.342,61808122.0,28846588.0,321716194.0,-104055562.0,308315342.0
Kết quả kinh doanhbộ phận,Kết quả kinh doanhbộ phận,Kết quả kinh doanhbộ phận,1.086.402,336.472,5.050.423,(84.726),6.388.571,1086402.0,336472.0,5050423.0,-84726.0,6388571.0
,,,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,,,,,
31 tháng 12 năm 2017,31 tháng 12 năm 2017,31 tháng 12 năm 2017,31 tháng 12 năm 2017,31 tháng 12 năm 2017,31 tháng 12 năm 2017,31 tháng 12 năm 2017,31 tháng 12 năm 2017,,,,,
Tải sản,31 tháng 12 năm 2017 > Tải sản,Tải sản,45.873.578,29.844.428,304.023.909,(95.425.792),284.316.123,45873578.0,29844428.0,304023909.0,-95425792.0,284316123.0
Nợ phải trả,31 tháng 12 năm 2017 > Nợ phải trả,Nợ phải trả,45.603.761,29.486.196,286.306.688,(93.111.369),268.285.276,45603761.0,29486196.0,286306688.0,-93111369.0,268285276.0
Kết quả kinh doanhbộ phận,31 tháng 12 năm 2017 > Kết quả kinh doanhbộ phận,Kết quả kinh doanhbộ phận,269.817,358.232,2.105.860,(77.702),2.656.207,269817.0,358232.0,2105860.0,-77702.0,2656207.0
