row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2018Triệu VND,Tại ngày > 31.12.2017Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2018Triệu VND,numeric__Tại ngày > 31.12.2017Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,14,3.074.100,-,,14.0,3074100.0,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,20.718.382,15.453.746,,15.0,20718382.0,15453746.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,17.173.804,12.130.254,,,17173804.0,12130254.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.544.578,3.323.492,,,3544578.0,3323492.0
III,B > III,III,Tiền gửi của khách hàng,16,269.998.503,241.392.932,,16.0,269998503.0,241392932.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,17,38.198,10.491,,17.0,38198.0,10491.0
V,B > V,V,"Vốn tài trợ, uỷ thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,160.093,136.466,,18.0,160093.0,136466.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,8.290.918,6.761.000,,19.0,8290918.0,6761000.0
VII,B > VII,VII,Các khoản nợ khác,,6.035.148,4.530.641,,,6035148.0,4530641.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,3.409.191,2.815.502,,,3409191.0,2815502.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,2.625.957,1.715.139,,20.0,2625957.0,1715139.0
,,,TỔNG NỘ PHẢI TRẢ,,308.315.342,268.285.276,,,308315342.0,268285276.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,,21.017.899,16.030.847,,,21017899.0,16030847.0
1,B > 1,1,Vốn của tổ chức tín dụng,21,12.220.152,9.607.514,,21.0,12220152.0,9607514.0
a,B > a,a,Vốn điều lệ,,12.885.877,10.273.239,,,12885877.0,10273239.0
d,B > d,d,Cổ phiếu quỹ,,(665.725),(665.725),,,-665725.0,-665725.0
2,B > 2,2,Quỹ của tổ chức tín dụng,21.1,3.693.069,2.913.780,,211.0,3693069.0,2913780.0
5,B > 5,5,Lợi nhuận chưa phân phối,21.1,5.104.678,3.509.553,,211.0,5104678.0,3509553.0
a,B > a,a,Lợi nhuận năm nay,,4.357.763,1.788.105,,,4357763.0,1788105.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,746.915,1.721.448,,,746915.0,1721448.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,21.017.899,16.030.847,,,21017899.0,16030847.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,329.333.241,284.316.123,,,329333241.0,284316123.0
