row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2018,Quá hạn > Ngày 31 tháng 12 năm 2018,Không chịu lãi suất > Ngày 31 tháng 12 năm 2018,Dưới 1 tháng > Ngày 31 tháng 12 năm 2018,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2018,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2018,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2018,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2018,Trên 5 năm > Ngày 31 tháng 12 năm 2018,Tổng cộng > Ngày 31 tháng 12 năm 2018,numeric__Quá hạn > Ngày 31 tháng 12 năm 2018,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2018,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2018,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2018,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2018,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2018,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2018,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2018,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2018
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,6.129.169,-,-,-,-,-,-,6.129.169,,6129169.0,,,,,,,6129169.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,10.683.536,-,-,-,-,-,-,10.683.536,,10683536.0,,,,,,,10683536.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),400.000,-,5.820.446,9.474.798,3.214.924,-,-,-,18.910.168,400000.0,,5820446.0,9474798.0,3214924.0,,,,18910168.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,1.339.157,-,-,-,-,-,-,1.339.157,,1339157.0,,,,,,,1339157.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),2.050.491,-,3.589.802,215.809.261,5.799.580,2.635.864,560.649,81.573,230.527.220,2050491.0,,3589802.0,215809261.0,5799580.0,2635864.0,560649.0,81573.0,230527220.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,748.534,-,-,-,-,30.078.129,23.009.996,53.836.659,,748534.0,,,,,30078129.0,23009996.0,53836659.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,161.325,-,-,-,-,-,-,161.325,,161325.0,,,,,,,161325.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.233.388,-,-,-,-,-,-,3.233.388,,3233388.0,,,,,,,3233388.0
Bắt động sản đầu tư,Tài sản > Bắt động sản đầu tư,Bắt động sản đầu tư,-,247.454,-,-,-,-,-,-,247.454,,247454.0,,,,,,,247454.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),251.848,7.228.188,-,-,-,1.417.788,-,-,8.897.824,251848.0,7228188.0,,,,1417788.0,,,8897824.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.702.339,29.770.751,9.410.248,225.284.059,9.014.504,4.053.652,30.638.778,23.091.569,333.965.900,2702339.0,29770751.0,9410248.0,225284059.0,9014504.0,4053652.0,30638778.0,23091569.0,333965900.0
