row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,2.258.127,1.290.041,321.167,179.024,4.048.359,2258127.0,1290041.0,321167.0,179024.0,4048359.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,25.965,199.469,42.214,3.757,271.405,25965.0,199469.0,42214.0,3757.0,271405.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,160.950,-,-,-,160.950,160950.0,,,,160950.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.000),(41.066),(7.283),(13.106),(66.455),-5000.0,-41066.0,-7283.0,-13106.0,-66455.0
Chuyển từ tài sản Có khác,Nguyên giá > Chuyển từ tài sản Có khác,Chuyển từ tài sản Có khác,520,-,-,-,520,520.0,,,,520.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,5.423,(4.164),(1.259),-,,5423.0,-4164.0,-1259.0,
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,2.440.562,1.453.867,351.934,168.416,4.414.779,2440562.0,1453867.0,351934.0,168416.0,4414779.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,372.469,857.164,197.406,146.490,1.573.529,372469.0,857164.0,197406.0,146490.0,1573529.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,61.277,156.537,30.457,13.799,262.070,61277.0,156537.0,30457.0,13799.0,262070.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(414),(40.830),(7.129),(13.090),(61.463),-414.0,-40830.0,-7129.0,-13090.0,-61463.0
Biến động khác,Khấu hao lũy kế > Biến động khác,Biến động khác,-,133,-,(133),-,,133.0,,-133.0,
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,433.332,973.004,220.734,147.066,1.774.136,433332.0,973004.0,220734.0,147066.0,1774136.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,1.885.658,432.877,123.761,32.534,2.474.830,1885658.0,432877.0,123761.0,32534.0,2474830.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,2.007.230,480.863,131.200,21.350,2.640.643,2007230.0,480863.0,131200.0,21350.0,2640643.0
