row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,Mua sắm tài sản cố định,,(373.545),(713.293),,,-373545.0,-713293.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,24.625,25.174,,,24625.0,25174.0
04,04,04,Mua sắm bất động sản đầu tư,,(24.211),-,,,-24211.0,
05,05,05,"Tiền thu từ thanh lý, nhượng bán bất động sản đầu tư",,34.400,14.605,,,34400.0,14605.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,34.000,5.610,,,34000.0,5610.0
09,09,09,"Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,30.232,32.159,,,30232.0,32159.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(274.499),(635.745),,,-274499.0,-635745.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
02,02,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,2.167.000,-,,,2167000.0,
03,03,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,(3.000.000),-,,,-3000000.0,
04,04,04,Lợi nhuận đã chia,"21.1(ii, iii)",(100.000),(130.000),,,-100000.0,-130000.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(933.000),(130.000),,,-933000.0,-130000.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,10.697.678,4.119.776,,,10697678.0,4119776.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,18.698.653,14.578.877,,,18698653.0,14578877.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,35,29.396.331,18.698.653,,35.0,29396331.0,18698653.0
