row_label_raw,row_label_full,Các khoản đầu tư nằm giữ đến ngày đáo hạn > - Chứng chỉ tiền gửi có kỳ hạn còn lại trên 1 năm > - Trái phiếu nằm giữ đến ngày đáo hạn (1),Tỷ lệ biểu quyết của Công ty,Tỷ lệ sở hữu của Công ty,Số cuối năm VND > 3.444.540.512.534 > - > 3.444.540.512.534,Số đầu năm VND > 301.622.077.596 > -,numeric__Tỷ lệ biểu quyết của Công ty,numeric__Tỷ lệ sở hữu của Công ty,numeric__Số cuối năm VND > 3.444.540.512.534 > - > 3.444.540.512.534,numeric__Số đầu năm VND > 301.622.077.596 > -
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",,,794.315.339.944,764.280.760.972,,,794315339944.0,764280760972.0
- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),"20,07%","20,01%",794.315.339.944,764.280.760.972,0.2007,0.20010000000000003,794315339944.0,764280760972.0
Tổng cộng,Tổng cộng,Tổng cộng,,,4.238.855.852.478,1.065.902.838.568,,,4238855852478.0,1065902838568.0
