row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính: VND Chênh lệch thuán điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính: VND Chênh lệch thuán điều chỉnh số kế toán trong năm
I,I,I,Loại FVTPL,,,,,,,,,,,
3,I > 3,3,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,399.114.275.313,386.642.357.221,(12.471.918.092),(7.692.624.642),(4.779.293.450),,399114275313.0,386642357221.0,-12471918092.0,-7692624642.0,-4779293450.0
4,I > 4,4,Trái phiếu và chứng khoán khác chưa niêm yết,2.333.151.012.697,2.333.151.012.697,-,(5.048.000.000),5.048.000.000,,2333151012697.0,2333151012697.0,,-5048000000.0,5048000000.0
II,I > II,II,Loại AFS,429.604.461.632,760.042.115.504,330.437.653.872,350.552.418.765,(20.114.764.893),,429604461632.0,760042115504.0,330437653872.0,350552418765.0,-20114764893.0
1,I > 1,1,Cổ phiếu niêm yết,251.088.814.728,591.104.213.600,340.015.398.872,350.552.418.765,(10.537.019.893),,251088814728.0,591104213600.0,340015398872.0,350552418765.0,-10537019893.0
1,I > 1,1,SGN,172.712.731.397,447.423.470.000,274.710.738.603,328.239.512.209,(53.528.773.606),,172712731397.0,447423470000.0,274710738603.0,328239512209.0,-53528773606.0
1,I > 1,1,DHC,52.055.700.788,131.244.668.000,79.188.967.212,34.517.304.262,44.671.662.950,,52055700788.0,131244668000.0,79188967212.0,34517304262.0,44671662950.0
1,I > 1,1,Cổ phiếu niêm yết khác,26.320.382.543,12.436.075.600,(13.884.306.943),(12.204.397.706),(1.679.909.237),,26320382543.0,12436075600.0,-13884306943.0,-12204397706.0,-1679909237.0
2,I > 2,2,Cổ phiếu chưa niêm yết,178.515.646.904,168.937.901.904,(9.577.745.000),-,(9.577.745.000),,178515646904.0,168937901904.0,-9577745000.0,,-9577745000.0
2,I > 2,2,Tổng cộng,4.982.658.329.082,5.075.286.888.571,92.628.559.489,97.262.140.726,(4.633.581.237),,4982658329082.0,5075286888571.0,92628559489.0,97262140726.0,-4633581237.0
