row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý (4),Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý (4),numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý (4),numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý (4)
Cho vay hoạt động ký quỹ (1),Cho vay hoạt động ký quỹ (1),Cho vay hoạt động ký quỹ (1),5.285.813.165.409,5.255.659.510.344,5.887.782.972.702,5.858.116.840.495,5285813165409.0,5255659510344.0,5887782972702.0,5858116840495.0
Cho vay hoạt động ứng trước tiền bán của khách hàng (2),Cho vay hoạt động ứng trước tiền bán của khách hàng (2),Cho vay hoạt động ứng trước tiền bán của khách hàng (2),49.029.062.675,49.029.062.675,73.246.329.906,73.246.329.906,49029062675.0,49029062675.0,73246329906.0,73246329906.0
Các khoản khác (3),Các khoản khác (3),Các khoản khác (3),24.500.000.000,24.500.000.000,5.621.883.331,5.621.883.331,24500000000.0,24500000000.0,5621883331.0,5621883331.0
Tổng cộng,Tổng cộng,Tổng cộng,5.359.342.228.084,5.329.188.573.019,5.966.651.185.939,5.936.985.053.732,5359342228084.0,5329188573019.0,5966651185939.0,5936985053732.0
