row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Quá hạn > Ngày 31 tháng 12 năm 2019,Không ký hạn > Ngày 31 tháng 12 năm 2019,Đến 01 năm > Ngày 31 tháng 12 năm 2019,Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2019,Trên 05 năm > Ngày 31 tháng 12 năm 2019,Đơn vị tính: VND Tổng cộng > Ngày 31 tháng 12 năm 2019,numeric__Quá hạn > Ngày 31 tháng 12 năm 2019,numeric__Không ký hạn > Ngày 31 tháng 12 năm 2019,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2019,numeric__Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2019,numeric__Trên 05 năm > Ngày 31 tháng 12 năm 2019,numeric__Đơn vị tính: VND Tổng cộng > Ngày 31 tháng 12 năm 2019
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,260.631.829.536,780.150.780.818,-,-,1.040.782.610.354,,260631829536.0,780150780818.0,,,1040782610354.0
Tài sản tài chính,TÀI SẢN > Tài sản tài chính,Tài sản tài chính,31.350.491,5.124.315.951.246,16.032.213.272.783,3.444.540.512.534,794.315.339.944,25.395.416.426.998,31350491.0,5124315951246.0,16032213272783.0,3444540512534.0,794315339944.0,25395416426998.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ,TÀI SẢN > Tài sản tài chính ghi nhận thông qua lãi/lỗ,Tài sản tài chính ghi nhận thông qua lãi/lỗ,-,4.315.244.773.067,-,-,-,4.315.244.773.067,,4315244773067.0,,,,4315244773067.0
Giữ đến ngày đáo hạn,TÀI SẢN > Giữ đến ngày đáo hạn,Giữ đến ngày đáo hạn,-,-,10.721.931.457.865,3.444.540.512.534,-,14.166.471.970.399,,,10721931457865.0,3444540512534.0,,14166471970399.0
Các khoản cho vay (không bao gồm dự phòng),TÀI SẢN > Các khoản cho vay (không bao gồm dự phòng),Các khoản cho vay (không bao gồm dự phòng),31.350.491,49.029.062.675,5.310.281.814.918,-,-,5.359.342.228.084,31350491.0,49029062675.0,5310281814918.0,,,5359342228084.0
Sẵn sàng để bán,TÀI SẢN > Sẵn sàng để bán,Sẵn sàng để bán,-,760.042.115.504,-,-,-,760.042.115.504,,760042115504.0,,,,760042115504.0
Góp vốn đầu tư dài hạn,TÀI SẢN > Góp vốn đầu tư dài hạn,Góp vốn đầu tư dài hạn,-,-,-,-,794.315.339.944,794.315.339.944,,,,,794315339944.0,794315339944.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,308.278.893.044,164.752.511.401,2.236.298.475,176.462.783.756,205.776.532.750,857.507.019.426,308278893044.0,164752511401.0,2236298475.0,176462783756.0,205776532750.0,857507019426.0
"Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > Các khoản cầm cố, ký quỹ, ký cược","Các khoản cầm cố, ký quỹ, ký cược",-,29.107.655.416,-,-,-,29.107.655.416,,29107655416.0,,,,29107655416.0
Phải thu khác (không bao gồm dự phòng),TÀI SẢN > Phải thu khác (không bao gồm dự phòng),Phải thu khác (không bao gồm dự phòng),308.278.893.044,87.185.722.731,2.236.298.475,-,-,397.700.914.250,308278893044.0,87185722731.0,2236298475.0,,,397700914250.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,-,48.459.133.254,-,-,-,48.459.133.254,,48459133254.0,,,,48459133254.0
Tài sản cố định (bao gồm chi phí xây dựng cơ bản dở dang),TÀI SẢN > Tài sản cố định (bao gồm chi phí xây dựng cơ bản dở dang),Tài sản cố định (bao gồm chi phí xây dựng cơ bản dở dang),-,-,-,176.462.783.756,205.776.532.750,382.239.316.506,,,,176462783756.0,205776532750.0,382239316506.0
Tổng cộng,TÀI SẢN > Tổng cộng,Tổng cộng,308.310.243.535,5.549.700.292.183,16.814.600.352.076,3.621.003.296.290,1.000.091.872.694,27.293.706.056.778,308310243535.0,5549700292183.0,16814600352076.0,3621003296290.0,1000091872694.0,27293706056778.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,
Vay và nợ ngắn hạn,NỘ PHẢI TRẢ > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,-,5.679.096.155.457,9.871.130.000.000,-,-,15.550.226.155.457,,5679096155457.0,9871130000000.0,,,15550226155457.0
Trái phiếu chuyển đổi,NỘ PHẢI TRẢ > Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,-,-,-,1.105.937.946.170,-,1.105.937.946.170,,,,1105937946170.0,,1105937946170.0
Phải trả hoạt động kinh doanh chứng khoán,NỘ PHẢI TRẢ > Phải trả hoạt động kinh doanh chứng khoán,Phải trả hoạt động kinh doanh chứng khoán,-,-,30.254.764.400,-,-,30.254.764.400,,,30254764400.0,,,30254764400.0
Chi phí phải trả,NỘ PHẢI TRẢ > Chi phí phải trả,Chi phí phải trả,-,26.636.113.756,72.355.027.987,-,-,98.991.141.743,,26636113756.0,72355027987.0,,,98991141743.0
Thuế và các khoản phải nộp Nhà nước,NỘ PHẢI TRẢ > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,-,59.461.134.912,-,-,-,59.461.134.912,,59461134912.0,,,,59461134912.0
"Phải trả, phải nộp khác","NỘ PHẢI TRẢ > Phải trả, phải nộp khác","Phải trả, phải nộp khác",-,354.754.122.779,309.165.194.916,-,-,663.919.317.695,,354754122779.0,309165194916.0,,,663919317695.0
Tổng cộng,NỘ PHẢI TRẢ > Tổng cộng,Tổng cộng,-,6.119.947.526.904,10.282.904.987.303,1.105.937.946.170,-,17.508.790.460.377,,6119947526904.0,10282904987303.0,1105937946170.0,,17508790460377.0
Mức chênh lệch thanh khoản ròng,NỘ PHẢI TRẢ > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,308.310.243.535,(570.247.234.721),6.531.695.364.773,2.515.065.350.120,1.000.091.872.694,9.784.915.596.401,308310243535.0,-570247234721.0,6531695364773.0,2515065350120.0,1000091872694.0,9784915596401.0
