row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 1 tháng 1 năm 2018 > VND,Số dư đầu năm > Ngày 1 tháng 1 năm 2019 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2018 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2019 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2018 > VND,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2019 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2018 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2019 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,II. THU NHẬP TOÀN DIỆN KHÁC1. Lãi/(lỗ) từ đánh giá lại các tài sản tài chính AFS,41,637.896.244.067,277.801.019.026,36.935.488.132,(397.030.713.173),99.860.975.189,(118.166.825.182),277.801.019.026,259.495.169.033,41.0,637896244067.0,277801019026.0,36935488132.0,-397030713173.0,99860975189.0,-118166825182.0,277801019026.0,259495169033.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,637.896.244.067,277.801.019.026,36.935.488.132,(397.030.713.173),99.860.975.189,(118.166.825.182),277.801.019.026,259.495.169.033,,637896244067.0,277801019026.0,36935488132.0,-397030713173.0,99860975189.0,-118166825182.0,277801019026.0,259495169033.0
