row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Giá bán bình quân VND/đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lỗ bán chứng khoán năm nay VND,Lỗ bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Giá bán bình quân VND/đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lỗ bán chứng khoán năm nay VND,numeric__Lỗ bán chứng khoán năm trước VND
II,II,II,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,Lỗ BÁN,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết,41.784.183,,1.221.225.211.092,1.318.375.673.722,(97.150.462.630),(49.088.899.315),,41784183.0,,1221225211092.0,1318375673722.0,-97150462630.0,-49088899315.0
1,II > 1,1,GEX,5.472.850,22.769,124.612.735.500,143.934.156.561,(19.321.421.061),-,,5472850.0,22769.0,124612735500.0,143934156561.0,-19321421061.0,
1,II > 1,1,CTD,440.790,104.757,46.175.644.000,60.268.953.640,(14.093.309.640),(11.395.509),,440790.0,104757.0,46175644000.0,60268953640.0,-14093309640.0,-11395509.0
1,II > 1,1,HPG,7.777.810,24.437,190.067.966.500,201.667.328.317,(11.599.361.817),(5.533.536),,7777810.0,24437.0,190067966500.0,201667328317.0,-11599361817.0,-5533536.0
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết khác,28.092.733,,860.368.865.092,912.505.235.204,(52.136.370.112),(49.071.970.270),,28092733.0,,860368865092.0,912505235204.0,-52136370112.0,-49071970270.0
2,II > 2,2,Cổ phiếu chưa niêm yết và khác,-,,-,-,-,(4.250.700.000),,,,,,,-4250700000.0
3,II > 3,3,Trái phiếu niêm yết,146.880.000,,15.662.931.900.000,15.665.195.220.000,(2.263.320.000),(5.521.927.273),,146880000.0,,15662931900000.0,15665195220000.0,-2263320000.0,-5521927273.0
4,II > 4,4,Trái phiếu và chứng khoán chưa niêm yết,8.133,,1.675.372.205.168,1.702.259.099.863,(26.886.894.695),(46.859.874.349),,8133.0,,1675372205168.0,1702259099863.0,-26886894695.0,-46859874349.0
4,II > 4,4,TP_BIDVBOND14.24,100,948.212.921,94.821.292.100,100.335.900.000,(5.514.607.900),(1.916.000.000),,100.0,948212921.0,94821292100.0,100335900000.0,-5514607900.0,-1916000000.0
4,II > 4,4,TP_MB.2018.7Y.02,5.000,99.242.317,496.211.584.000,501.352.208.074,(5.140.624.074),-,,5000.0,99242317.0,496211584000.0,501352208074.0,-5140624074.0,
4,II > 4,4,TP_MB.BOND.2017.7Y.14,2.500,98.563.604,246.409.010.430,251.350.725.000,(4.941.714.570),(25.389.162.000),,2500.0,98563604.0,246409010430.0,251350725000.0,-4941714570.0,-25389162000.0
4,II > 4,4,Trái phiếu và chứng khoán chưa niêm yết khác,533,,837.930.318.638,849.220.266.789,(11.289.948.151),(19.554.712.349),,533.0,,837930318638.0,849220266789.0,-11289948151.0,-19554712349.0
5,II > 5,5,Lỗ vị thế của hợp đồng CKPS,,,,,(6.939.770.000),(4.918.531.000),,,,,,-6939770000.0,-4918531000.0
5,II > 5,5,Tổng cộng,188.672.316,,18.559.529.316.260,18.685.829.993.585,(133.240.447.325),(110.639.931.937),,188672316.0,,18559529316260.0,18685829993585.0,-133240447325.0,-110639931937.0
