row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả) > Số đầu năm,Phải thu/(phải trả) > Tăng trong năm,Phải thu/(phải trả) > Giám trong năm,Phải thu/(phải trả) > Số cuối năm,Đơn vị tính: VNDDoanh thu/(chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả) > Số đầu năm,numeric__Phải thu/(phải trả) > Tăng trong năm,numeric__Phải thu/(phải trả) > Giám trong năm,numeric__Phải thu/(phải trả) > Số cuối năm,numeric__Đơn vị tính: VNDDoanh thu/(chi phí)
Công ty TNHHMTV Nguyễn SàiGòn,Công ty TNHHMTV Nguyễn SàiGòn,Công ty TNHHMTV Nguyễn SàiGòn,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,156.772.985,(156.772.985),-,156.763.385,,,156772985.0,-156772985.0,,156763385.0
Công ty TNHHMTV Nguyễn SàiGòn,Công ty TNHHMTV Nguyễn SàiGòn,Công ty TNHHMTV Nguyễn SàiGòn,Giao dịch mua chứng khoán,-,(10.234.900.000),10.234.900.000,-,-,,,-10234900000.0,10234900000.0,,
Công ty TNHHMTV Nguyễn SàiGòn,Công ty TNHHMTV Nguyễn SàiGòn,Công ty TNHHMTV Nguyễn SàiGòn,Cổ tức SSI,-,(180.002.000),180.002.000,-,-,,,-180002000.0,180002000.0,,
Công ty TNHH Bắtđộng sản Sài GònĐan Linh,Công ty TNHH Bắtđộng sản Sài GònĐan Linh,Công ty TNHH Bắtđộng sản Sài GònĐan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,191.053.584,(191.053.584),-,191.047.984,,,191053584.0,-191053584.0,,191047984.0
Công ty TNHH Bắtđộng sản Sài GònĐan Linh,Công ty TNHH Bắtđộng sản Sài GònĐan Linh,Công ty TNHH Bắtđộng sản Sài GònĐan Linh,Cổ tức SSI,-,(30.454.063.000),30.454.063.000,-,-,,,-30454063000.0,30454063000.0,,
"Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan","Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan","Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan",Doanh thu giao dịch và dịch vụ chứng khoán khác,-,2.668.460.400,(2.668.460.400),-,624.102.309,,,2668460400.0,-2668460400.0,,624102309.0
"Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan","Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan","Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan",Giao dịch bán trải phiếu,-,20.228.399.300,(20.228.399.300),-,228.399.300,,,20228399300.0,-20228399300.0,,228399300.0
"Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan","Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan","Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan",Doanh thu dịch vụ khác,-,2.207.534.770,(2.207.534.770),-,2.207.534.770,,,2207534770.0,-2207534770.0,,2207534770.0
"Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan","Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan","Thành viên Hội đồngQuản trị, Ban TổngGiảm đốc và các cá nhân liên quan",Cổ tức SSI,-,(14.073.400.000),14.073.400.000,-,-,,,-14073400000.0,14073400000.0,,
Đối tượng liênquan khác,Đối tượng liênquan khác,Đối tượng liênquan khác,Mua trái phiếu SSI,(60.000.000.000),-,60.000.000.000,-,-,,-60000000000.0,,60000000000.0,,
Đối tượng liênquan khác,Đối tượng liênquan khác,Đối tượng liênquan khác,Lãi trái phiếu phải trả,(4.934.054.428),(270.945.572),5.205.000.000,-,(270.945.572),,-4934054428.0,-270945572.0,5205000000.0,,-270945572.0
Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,,,,,,
,,,,Năm nay,Đơn vị tính: VNDNăm trước,Đơn vị tính: VNDNăm trước,Đơn vị tính: VNDNăm trước,Đơn vị tính: VNDNăm trước,,,,,,
Lương và thường,Các giao dịch với các bên liên quan khácThu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc > Lương và thường,Lương và thường,Lương và thường,15.747.711.049,13.126.800.000,13.126.800.000,13.126.800.000,13.126.800.000,,15747711049.0,13126800000.0,13126800000.0,13126800000.0,13126800000.0
