row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2019,Nguyên giá > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,155.928.064.957,17.551.416.700,2.173.470.957,175.652.952.614,155928064957.0,17551416700.0,2173470957.0,175652952614.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,30.411.919.747,4.618.228.000,624.290.074,35.654.437.821,30411919747.0,4618228000.0,624290074.0,35654437821.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,30.411.919.747,4.618.228.000,624.290.074,35.654.437.821,30411919747.0,4618228000.0,624290074.0,35654437821.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(4.845.722.528),(552.987.400),-,(5.398.709.928),-4845722528.0,-552987400.0,,-5398709928.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.845.722.528),(552.987.400),-,(5.398.709.928),-4845722528.0,-552987400.0,,-5398709928.0
Ngày 31 tháng 12 năm 2019,Nguyên giá > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,181.494.262.176,21.616.657.300,2.797.761.031,205.908.680.507,181494262176.0,21616657300.0,2797761031.0,205908680507.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm 2019,Giá trị hao mòn lũy kế > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,78.583.761.763,11.674.398.268,1.297.068.459,91.555.228.490,78583761763.0,11674398268.0,1297068459.0,91555228490.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,21.197.390.197,1.587.315.565,405.041.595,23.189.747.357,21197390197.0,1587315565.0,405041595.0,23189747357.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,21.197.390.197,1.587.315.565,405.041.595,23.189.747.357,21197390197.0,1587315565.0,405041595.0,23189747357.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(4.843.840.912),(552.987.400),-,(5.396.828.312),-4843840912.0,-552987400.0,,-5396828312.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.843.840.912),(552.987.400),-,(5.396.828.312),-4843840912.0,-552987400.0,,-5396828312.0
Ngày 31 tháng 12 năm 2019,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,94.937.311.048,12.708.726.433,1.702.110.054,109.348.147.535,94937311048.0,12708726433.0,1702110054.0,109348147535.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2019,Giá trị còn lại > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,77.344.303.194,5.877.018.432,876.402.498,84.097.724.124,77344303194.0,5877018432.0,876402498.0,84097724124.0
Ngày 31 tháng 12 năm 2019,Giá trị còn lại > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,86.556.951.128,8.907.930.867,1.095.650.977,96.560.532.972,86556951128.0,8907930867.0,1095650977.0,96560532972.0
