row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,4.553.053.867.448,36.744.185.844,(274.553.280.225),4.315.244.773.067,2.293.276.097.957,40.156.043.224,(293.446.321.263),2.039.985.819.918,4553053867448.0,36744185844.0,-274553280225.0,4315244773067.0,2293276097957.0,40156043224.0,-293446321263.0,2039985819918.0
Cổ phiếu vàchứng khoánniêm yết,Cổ phiếu vàchứng khoánniêm yết,Cổ phiếu vàchứng khoánniêm yết,1.672.963.319.466,25.940.820.150,(251.619.095.966),1.447.285.043.650,1.611.962.128.767,28.291.749.774,(268.841.403.171),1.371.412.475.370,1672963319466.0,25940820150.0,-251619095966.0,1447285043650.0,1611962128767.0,28291749774.0,-268841403171.0,1371412475370.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủirocủa chứngquyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủirocủa chứngquyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủirocủa chứngquyền,147.825.259.973,3.718.365.694,(3.377.266.167),148.166.359.500,-,-,-,-,147825259973.0,3718365694.0,-3377266167.0,148166359500.0,,,,
Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,399.114.275.313,7.085.000.000,(19.556.918.092),386.642.357.221,120.582.017.570,11.864.293.450,(19.556.918.092),112.889.392.928,399114275313.0,7085000000.0,-19556918092.0,386642357221.0,120582017570.0,11864293450.0,-19556918092.0,112889392928.0
Trái phiếu vàchứng khoánkhác churaniêm yết,Trái phiếu vàchứng khoánkhác churaniêm yết,Trái phiếu vàchứng khoánkhác churaniêm yết,2.333.151.012.696,-,-,2.333.151.012.696,560.731.951.620,-,(5.048.000.000),555.683.951.620,2333151012696.0,,,2333151012696.0,560731951620.0,,-5048000000.0,555683951620.0
AFS,AFS,AFS,429.604.461.632,354.712.424.223,(24.274.770.351),760.042.115.504,914.532.853.535,363.756.998.724,(13.204.579.959),1.265.085.272.300,429604461632.0,354712424223.0,-24274770351.0,760042115504.0,914532853535.0,363756998724.0,-13204579959.0,1265085272300.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,251.088.814.728,354.712.424.223,(14.697.025.351),591.104.213.600,486.920.806.635,363.756.998.724,(13.204.579.959),837.473.225.400,251088814728.0,354712424223.0,-14697025351.0,591104213600.0,486920806635.0,363756998724.0,-13204579959.0,837473225400.0
Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,178.515.646.904,-,(9.577.745.000),168.937.901.904,388.517.146.900,-,-,388.517.146.900,178515646904.0,,-9577745000.0,168937901904.0,388517146900.0,,,388517146900.0
Trái phiếuchưa niêm yết,Trái phiếuchưa niêm yết,Trái phiếuchưa niêm yết,-,-,-,-,39.094.900.000,-,-,39.094.900.000,,,,,39094900000.0,,,39094900000.0
Tổng công,Tổng công,Tổng công,4.982.658.329.080,391.456.610.067,(298.828.050.576),5.075.286.888.571,3.207.808.951.492,403.913.041.948,(306.650.901.222),3.305.071.092.218,4982658329080.0,391456610067.0,-298828050576.0,5075286888571.0,3207808951492.0,403913041948.0,-306650901222.0,3305071092218.0
