row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND Số cuối năm,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND Số cuối năm
I,I,I,Thuế,69.950.280.972,427.375.818.099,437.864.964.159,59.461.134.912,,69950280972.0,427375818099.0,437864964159.0,59461134912.0
1,1,1,Thuế giá trị gia tăng hàng bán nội địa,815.853.250,11.243.345.089,10.872.502.240,1.186.696.099,,815853250.0,11243345089.0,10872502240.0,1186696099.0
2,2,2,Thuế thu nhập doanh nghiệp(Thuyết minh số 40.1),40.748.215.998,178.677.854.956,188.842.598.770,30.583.472.184,,40748215998.0,178677854956.0,188842598770.0,30583472184.0
3,3,3,Các loại thuế khác,28.386.211.724,237.454.618.054,238.149.863.149,27.690.966.629,,28386211724.0,237454618054.0,238149863149.0,27690966629.0
3,3,3,Thuế thu nhập cá nhân,6.163.608.106,47.748.584.174,47.571.700.518,6.340.491.762,,6163608106.0,47748584174.0,47571700518.0,6340491762.0
3,3,3,Thuế thu nhập cá nhân nộp hộ nhà đầu tư,17.817.248.995,139.293.363.555,140.172.947.557,16.937.664.993,,17817248995.0,139293363555.0,140172947557.0,16937664993.0
3,3,3,Thuế môn bài,-,20.500.000,20.500.000,-,,,20500000.0,20500000.0,
3,3,3,Thuế khác,4.405.354.623,50.392.170.325,50.384.715.074,4.412.809.874,,4405354623.0,50392170325.0,50384715074.0,4412809874.0
II,II,II,Các khoản phải nộp khác,-,142.677.141,142.677.141,-,,,142677141.0,142677141.0,
II,II,II,Tổng cộng,69.950.280.972,427.518.495.240,438.007.641.300,59.461.134.912,,69950280972.0,427518495240.0,438007641300.0,59461134912.0
