row_label_raw,row_label_full,col_0,Chỉ số năm 2019,Chỉ số năm 2018,numeric__Chỉ số năm 2019,numeric__Chỉ số năm 2018
Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,,
Tài sản ngắn hạn/ Tổng tài sản,Cơ cấu tài sản > Tài sản ngắn hạn/ Tổng tài sản,Tài sản ngắn hạn/ Tổng tài sản,"82,42%","93,47%",0.8242,0.9347
Tài sản dài hạn/ Tổng tài sản,Cơ cấu tài sản > Tài sản dài hạn/ Tổng tài sản,Tài sản dài hạn/ Tổng tài sản,"17,58%","6,53%",0.17579999999999998,0.0653
Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,,
Nợ phải trả/ Tổng tài sản,Cơ cấu nguồn vốn > Nợ phải trả/ Tổng tài sản,Nợ phải trả/ Tổng tài sản,"65,24%","61,57%",0.6524,0.6157
Nguồn vốn chủ sở hữu/ Tổng tài sản,Cơ cấu nguồn vốn > Nguồn vốn chủ sở hữu/ Tổng tài sản,Nguồn vốn chủ sở hữu/ Tổng tài sản,"34,76%","38,43%",0.34759999999999996,0.3843
Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,,
Lợi nhuận sau thuế/ Tổng tài sản (ROA),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Tổng tài sản (ROA),Lợi nhuận sau thuế/ Tổng tài sản (ROA),"3,35%","5,47%",0.0335,0.0547
Lợi nhuận sau thuế/ Nuồn vốn chủ sở hữu (ROE),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Nuồn vốn chủ sở hữu (ROE),Lợi nhuận sau thuế/ Nuồn vốn chủ sở hữu (ROE),"9,72%","14,34%",0.09720000000000001,0.1434
Lợi nhuận sau thuế/ Vốn điều lệ,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Vốn điều lệ,Lợi nhuận sau thuế/ Vốn điều lệ,"17,78%","25,54%",0.1778,0.2554
Lợi nhuận sau thuế/ Doanh thu thuần,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Doanh thu thuần,Lợi nhuận sau thuế/ Doanh thu thuần,"27,48%","33,08%",0.2748,0.3308
Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,,
Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),"1,36","1,65",1.36,1.65
Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/ Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/ Nợ ngắn hạn),Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/ Nợ ngắn hạn),"1,35","1,64",1.35,1.64
