row_label_raw,row_label_full,STT,Danh mục các loại chứng quyền Công ty phát hành,Giá trị phát hành theo số kế toán,Giá trị thị trường,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính: VNDChênh lệch thuẩnđiều chỉnh số kế toán trong năm,numeric__Danh mục các loại chứng quyền Công ty phát hành,numeric__Giá trị phát hành theo số kế toán,numeric__Giá trị thị trường,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính: VNDChênh lệch thuẩnđiều chỉnh số kế toán trong năm
1,1,1,VNM/6.5M/SSI/C/EU/Cash-01,12.325.069.601,7.716.567.900,4.608.501.701,-,4.608.501.701,,12325069601.0,7716567900.0,4608501701.0,,4608501701.0
2,2,2,FPT/6.5M/SSI/C/EU/Cash-02,4.477.770.138,4.508.933.800,(31.163.662),-,(31.163.662),,4477770138.0,4508933800.0,-31163662.0,,-31163662.0
3,3,3,HPG/6.5M/SSI/C/EU/Cash-02,4.144.079.307,4.112.526.400,31.552.907,-,31.552.907,,4144079307.0,4112526400.0,31552907.0,,31552907.0
4,4,4,MBB/3.5M/SSI/C/EU/Cash-02,2.462.895.631,778.579.200,1.684.316.431,-,1.684.316.431,,2462895631.0,778579200.0,1684316431.0,,1684316431.0
5,5,5,MBB/6.5M/SSI/C/EU/Cash-02,6.350.549.539,3.709.466.600,2.641.082.939,-,2.641.082.939,,6350549539.0,3709466600.0,2641082939.0,,2641082939.0
6,6,6,REE/3.5M/SSI/C/EU/Cash-01,1.953.893.394,942.388.200,1.011.505.194,-,1.011.505.194,,1953893394.0,942388200.0,1011505194.0,,1011505194.0
7,7,7,REE/6.5M/SSI/C/EU/Cash-01,2.052.589.477,1.733.562.000,319.027.477,-,319.027.477,,2052589477.0,1733562000.0,319027477.0,,319027477.0
8,8,8,VHM/6.5M/SSI/C/EU/Cash-01,4.439.430.132,3.689.610.300,749.819.832,-,749.819.832,,4439430132.0,3689610300.0,749819832.0,,749819832.0
9,9,9,VIC/6.5M/SSI/C/EU/Cash-01,982.199.402,919.417.500,62.781.902,-,62.781.902,,982199402.0,919417500.0,62781902.0,,62781902.0
10,10,10,VJC/6.5M/SSI/C/EU/Cash-01,2.120.148.231,2.143.712.500,(23.564.269),-,(23.564.269),,2120148231.0,2143712500.0,-23564269.0,,-23564269.0
,,,Tổng công,41.308.624.852,30.254.764.400,11.053.860.452,-,11.053.860.452,,41308624852.0,30254764400.0,11053860452.0,,11053860452.0
