row_label_raw,row_label_full,Chi phí dự phòng suy giảm giá trị các khoản cho vay,Năm nay > 487.522.858,Đơn vị tính: VNDNăm trước > 6.594.554.707,numeric__Năm nay > 487.522.858,numeric__Đơn vị tính: VNDNăm trước > 6.594.554.707
Chi phí dự phòng phải thu tiền bán chứng khoán khó đòi,Chi phí dự phòng phải thu tiền bán chứng khoán khó đòi,Chi phí dự phòng phải thu tiền bán chứng khoán khó đòi,-,33.077.825.063,,33077825063.0
Chi phí dự phòng suy giảm giá trị tài sản tài chính sẵn sàng để bán,Chi phí dự phòng suy giảm giá trị tài sản tài chính sẵn sàng để bán,Chi phí dự phòng suy giảm giá trị tài sản tài chính sẵn sàng để bán,11.013.850.000,-,11013850000.0,
Tổng cộng,Tổng cộng,Tổng cộng,11.501.372.858,39.672.379.770,11501372858.0,39672379770.0
