row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,-,(686.640),279.895.303,(3.398.978.774),6.154.909.359,9274679470.0,,-686640.0,279895303.0,-3398978774.0,6154909359.0
Tăng vốn,Năm trước > Tăng vốn,Tăng vốn,1.300.000.000,-,-,-,-,1.300.000.000,1300000000.0,,,,,1300000000.0
Hoàn nhập quỹ đầu tư phát triển,Năm trước > Hoàn nhập quỹ đầu tư phát triển,Hoàn nhập quỹ đầu tư phát triển,-,-,-,(279.895.303),279.895.303,-,,,,-279895303.0,279895303.0,
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(265.762.658),(265.762.658),,,,,-265762658.0,-265762658.0
"Chi thù lao HĐQT, Ban Kiểm soát và Thư ký","Năm trước > Chi thù lao HĐQT, Ban Kiểm soát và Thư ký","Chi thù lao HĐQT, Ban Kiểm soát và Thư ký",-,-,-,-,(3.072.000),(3.072.000),,,,,-3072000.0,-3072000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,10.574.679.470,-,(686.640),-,(3.387.918.129),7.186.074.701,10574679470.0,,-686640.0,,-3387918129.0,7186074701.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,10.574.679.470,-,(686.640),-,(3.387.918.129),7.186.074.701,10574679470.0,,-686640.0,,-3387918129.0,7186074701.0
Tăng vốn (*),Năm nay > Tăng vốn (*),Tăng vốn (*),2.100.000.000,408.450.000,-,-,-,2.508.450.000,2100000000.0,408450000.0,,,,2508450000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,844.809.577,844.809.577,,,,,844809577.0,844809577.0
"Chi thù lao HĐQT, Ban Kiểm soát và Thư ký","Năm nay > Chi thù lao HĐQT, Ban Kiểm soát và Thư ký","Chi thù lao HĐQT, Ban Kiểm soát và Thư ký",-,-,-,-,(3.072.000),(3.072.000),,,,,-3072000.0,-3072000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,12.674.679.470,408.450.000,(686.640),-,(2.546.180.552),10.536.262.278,12674679470.0,408450000.0,-686640.0,,-2546180552.0,10536262278.0
