row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chỉ hộ,Ngắn hạn > Chỉ hộ,Chỉ hộ,1.813.654.348,1.892.832.548,1813654348.0,1892832548.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,11.872.765,10.190.992,11872765.0,10190992.0
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,2.085.798,42.487.317,2085798.0,42487317.0
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,5.991.038,4.408.403,5991038.0,4408403.0
,,,1.833.603.949,1.949.919.260,1833603949.0,1949919260.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho mượn,Dài hạn > Cho mượn,Cho mượn,1.313.471.186,-,1313471186.0,
Phải thu lãi cho vay,Dài hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,47.993.234,47.244.711,47993234.0,47244711.0
"Hợp đồng Hợp tác kinh doanh (""HTKD"")","Dài hạn > Hợp đồng Hợp tác kinh doanh (""HTKD"")","Hợp đồng Hợp tác kinh doanh (""HTKD"")",-,453.425.000,,453425000.0
,,,1.361.464.420,500.669.711,1361464420.0,500669711.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.195.068.369,2.450.588.971,3195068369.0,2450588971.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn các bên liên quan (TM số 28),Trong đó: > Phải thu ngắn hạn các bên liên quan (TM số 28),Phải thu ngắn hạn các bên liên quan (TM số 28),1.801.614.402,1.913.495.400,1801614402.0,1913495400.0
Phải thu dài hạn các bên liên quan (TM số 28),Trong đó: > Phải thu dài hạn các bên liên quan (TM số 28),Phải thu dài hạn các bên liên quan (TM số 28),1.361.464.420,47.244.711,1361464420.0,47244711.0
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,31.989.547,489.848.860,31989547.0,489848860.0
Dự phòng phải thu khác khó đòi,Trong đó: > Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(845.195.905),(850.131.842),-845195905.0,-850131842.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.349.872.464,1.600.457.129,2349872464.0,1600457129.0
Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau:,Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau:,Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau:,Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau:,Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau:,,
,,,Năm nay,Ngân VNDNăm trước,,
Số đầu năm,Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau: > Số đầu năm,Số đầu năm,850.131.842,852.801.123,850131842.0,852801123.0
Cộng: Dự phòng lập trong năm,Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau: > Cộng: Dự phòng lập trong năm,Cộng: Dự phòng lập trong năm,589.692.735,2.972.948,589692735.0,2972948.0
Trừ: Hoàn nhập dự phòng trong năm,Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau: > Trừ: Hoàn nhập dự phòng trong năm,Trừ: Hoàn nhập dự phòng trong năm,(594.628.672),(5.642.229),-594628672.0,-5642229.0
Số cuối năm,Chi tiết tinh hình tăng (giảm) dự phòng phải thu khác khó đòi như sau: > Số cuối năm,Số cuối năm,845.195.905,850.131.842,845195905.0,850131842.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,845.195.905,850.131.842,845195905.0,850131842.0
Dải hạn,Dải hạn,Dải hạn,-,-,,
HÀNG TÔN KHO,HÀNG TÔN KHO,HÀNG TÔN KHO,HÀNG TÔN KHO,HÀNG TÔN KHO,,
,,,Số cuối năm,Ngân VNDSố đầu năm,,
Nguyên vật liệu,HÀNG TÔN KHO > Nguyên vật liệu,Nguyên vật liệu,1.791.187,1.936.837,1791187.0,1936837.0
Hàng hóa,HÀNG TÔN KHO > Hàng hóa,Hàng hóa,982.376,982.376,982376.0,982376.0
"Chỉ phí sản xuất, kinh doanh dở dang","HÀNG TÔN KHO > Chỉ phí sản xuất, kinh doanh dở dang","Chỉ phí sản xuất, kinh doanh dở dang",151.584,160.700,151584.0,160700.0
Thành phẩm,HÀNG TÔN KHO > Thành phẩm,Thành phẩm,58.335,58.335,58335.0,58335.0
TỔNG CỘNG,HÀNG TÔN KHO > TỔNG CỘNG,TỔNG CỘNG,2.983.482,3.138.248,2983482.0,3138248.0
Dự phòng giảm giá hàng tồn kho,HÀNG TÔN KHO > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(2.341.575),(2.341.575),-2341575.0,-2341575.0
GIÁ TRỊ THUÀN,HÀNG TÔN KHO > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,641.907,796.673,641907.0,796673.0
