row_label_raw,row_label_full,Bên liên quan,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,
Công ty Cổ phần Lê Me,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Chi hộ,1.334.867.846,731.094.093,,1334867846.0,731094093.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Chi hộLãi cho vayKhác,-,592.224.11032.132.634393.410,,,5.922241103213263e+22
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Chi hộLãi cho vay,22.000-,22.000-,,,
Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Chi hộ,141.346.241,141.346.241,,141346241.0,141346241.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Chi hộLãi cho vayKhác,115.227.2511.227.942631.705,117.895.6921.227.942460.292,,1.1522725112279427e+21,1.1789569212279424e+21
Công ty TNHH Sản xuất Bột Mĩ,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty TNHH Sản xuất Bột Mĩ,Công ty TNHH Sản xuất Bột Mĩ,Chi hộKhác,162.173.4701.876.093,99.770.7251.876.093,,1621734701876093.0,997707251876093.0
Công ty Cổ phần Đầu tư Quốc tế Hoàng Anh Gia Lai,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty Cổ phần Đầu tư Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Đầu tư Quốc tế Hoàng Anh Gia Lai,Lãi cho vayChi hộ,106.007-,106.007141.345.386,,,106007141345386.0
Công ty Cổ phần Gia súc Lo' Pang,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty Cổ phần Gia súc Lo' Pang,Công ty Cổ phần Gia súc Lo' Pang,Lãi cho vayKhác,-,8.268.88637.462,,,826888637462.0
Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Chi hộ,42.650.715,44.031.381,,42650715.0,44031381.0
Các bên khác,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Các bên khác,Các bên khác,Khác,1.084.312,1.263.046,,1084312.0,1263046.0
,,,,1.801.614.402,1.913.495.400,,1801614402.0,1913495400.0
