row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Tổng lợi nhuận (lỗ) kế toán trước thuế,Tổng lợi nhuận (lỗ) kế toán trước thuế,Tổng lợi nhuận (lỗ) kế toán trước thuế,840.059.484,(268.130.157),840059484.0,-268130157.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí lãi vay vượt mức (*),Các khoản điều chỉnh: > Chi phí lãi vay vượt mức (*),Chi phí lãi vay vượt mức (*),-,226.279.373,,226279373.0
Lãi suất ấn định,Các khoản điều chỉnh: > Lãi suất ấn định,Lãi suất ấn định,35.829.099,106.187.541,35829099.0,106187541.0
Các chi phí không được khấu trừ khác,Các khoản điều chỉnh: > Các chi phí không được khấu trừ khác,Các chi phí không được khấu trừ khác,32.867.383,13.089.730,32867383.0,13089730.0
Chênh lệch tỷ giá chưa thực hiện,Các khoản điều chỉnh: > Chênh lệch tỷ giá chưa thực hiện,Chênh lệch tỷ giá chưa thực hiện,23.750.465,12.025.845,23750465.0,12025845.0
Thay đổi các khoản dự phòng,Các khoản điều chỉnh: > Thay đổi các khoản dự phòng,Thay đổi các khoản dự phòng,(574.250.004),(1.518.944.838),-574250004.0,-1518944838.0
Thu nhập cổ tức,Các khoản điều chỉnh: > Thu nhập cổ tức,Thu nhập cổ tức,-,(30.228.605),,-30228605.0
Lợi nhuận (lỗ) kế toán điều chỉnh trước thuế chưa cần trừ lỗ năm trước,Các khoản điều chỉnh: > Lợi nhuận (lỗ) kế toán điều chỉnh trước thuế chưa cần trừ lỗ năm trước,Lợi nhuận (lỗ) kế toán điều chỉnh trước thuế chưa cần trừ lỗ năm trước,358.256.427,(1.459.721.111),358256427.0,-1459721111.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(358.256.427),-,-358256427.0,
Thu nhập chịu thuế (lỗ tính thuế) uốc tính trong nằm hiện hành,Các khoản điều chỉnh: > Thu nhập chịu thuế (lỗ tính thuế) uốc tính trong nằm hiện hành,Thu nhập chịu thuế (lỗ tính thuế) uốc tính trong nằm hiện hành,-,(1.459.721.111),,-1459721111.0
Chi phí thuế TNDN hiện hành,Các khoản điều chỉnh: > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,-,37.670,,37670.0
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh: > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,103.625,28.062.353,103625.0,28062353.0
Thuế TNDN trích thừa kỳ trước,Các khoản điều chỉnh: > Thuế TNDN trích thừa kỳ trước,Thuế TNDN trích thừa kỳ trước,(65.955),-,-65955.0,
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh: > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(37.670),(27.996.398),-37670.0,-27996398.0
Thuế TNDN phải trả cuối năm (TM số 17),Các khoản điều chỉnh: > Thuế TNDN phải trả cuối năm (TM số 17),Thuế TNDN phải trả cuối năm (TM số 17),-,103.625,,103625.0
