row_label_raw,row_label_full,Ngàn VND,Ngàn VND_1,Ngàn VND_2,Ngàn VND_3,Ngàn VND_4,numeric__Ngàn VND_1,numeric__Ngàn VND_2,numeric__Ngàn VND_3,numeric__Ngàn VND_4
Năm phát sinh,Năm phát sinh,Năm phát sinh,Có thể chuyển lỗ đến năm,Lỗ tính thuế,Đã chuyển lỗ đến ngày 31 tháng 12 năm 2025,Chưa chuyển lỗ tại ngày 31 tháng 12 năm 2025,,,,
2022 (*),Năm phát sinh > 2022 (*),2022 (*),2027,69.375.996,(69.375.996),-,2027.0,69375996.0,-69375996.0,
2024 (**),Năm phát sinh > 2024 (**),2024 (**),2029,1.459.721.111,(288.880.431),-,2029.0,1459721111.0,-288880431.0,
TỔNG CỘNG,Năm phát sinh > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.529.097.107,(358.256.427),-,,1529097107.0,-358256427.0,
