row_label_raw,row_label_full,Tên,Chức vụ,Ngàn VND,Ngàn VND_1,numeric__Chức vụ,numeric__Ngàn VND,numeric__Ngàn VND_1
Tên,Tên,Tên,Chức vụ,Thu nhập (*),Thu nhập (*),,,
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Đoàn Nguyên Đức,Tên > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,2.490.672,2.490.672,,2490672.0,2490672.0
Ông Võ Trường Sơn,Tên > Ông Võ Trường Sơn,Ông Võ Trường Sơn,Thành viên HĐQT,1.343.874,1.711.306,,1343874.0,1711306.0
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT kiểm,,,,,
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Phó Tổng Giám đốc,1.441.127,1.445.675,,1441127.0,1445675.0
Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Thành viên HĐQT kiểm,,,,,
Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,1.342.607,1.259.405,,1342607.0,1259405.0
Ông Nguyễn Xuân Thắng,Bà Hồ Thị Kim Chi > Ông Nguyễn Xuân Thắng,Ông Nguyễn Xuân Thắng,Tổng Giám đốc,1.328.411,1.242.570,,1328411.0,1242570.0
Bà Đỗ Trần Thùy Trang,Bà Hồ Thị Kim Chi > Bà Đỗ Trần Thùy Trang,Bà Đỗ Trần Thùy Trang,Trường Ban Kiểm soát,747.408,738.957,,747408.0,738957.0
Ông Trần Văn Dai,Bà Hồ Thị Kim Chi > Ông Trần Văn Dai,Ông Trần Văn Dai,Thành viên HĐQT,162.000,324.000,,162000.0,324000.0
Ông Phạm Ngọc Châu,Bà Hồ Thị Kim Chi > Ông Phạm Ngọc Châu,Ông Phạm Ngọc Châu,Thành viên Ban Kiểm soát,108.000,216.000,,108000.0,216000.0
Ông Nguyễn Chí Thắng,Bà Hồ Thị Kim Chi > Ông Nguyễn Chí Thắng,Ông Nguyễn Chí Thắng,Thành viên HĐQT,-,108.000,,,108000.0
Ông Lê Hồng Phong,Bà Hồ Thị Kim Chi > Ông Lê Hồng Phong,Ông Lê Hồng Phong,Thành viên Ban Kiểm soát,-,72.000,,,72000.0
Ông Bùi Lê Quang,Bà Hồ Thị Kim Chi > Ông Bùi Lê Quang,Ông Bùi Lê Quang,Thành viên HĐQT,162.000,216.000,,162000.0,216000.0
Ông Nguyễn Tiến Hưng,Bà Hồ Thị Kim Chi > Ông Nguyễn Tiến Hưng,Ông Nguyễn Tiến Hưng,Thành viên Ban Kiểm soát,108.000,144.000,,108000.0,144000.0
Các cá nhân khác,Bà Hồ Thị Kim Chi > Các cá nhân khác,Các cá nhân khác,,1.646.085,840.367,,1646085.0,840367.0
TỔNG CỘNG,Bà Hồ Thị Kim Chi > TỔNG CỘNG,TỔNG CỘNG,,10.880.184,10.808.952,,10880184.0,10808952.0
