row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 1.499.165,Tăng trong năm > 978.283,Giảm trong năm > (1.671.148),Ngàn VND Số cuối năm > 806.300,numeric__Số đầu năm > 1.499.165,numeric__Tăng trong năm > 978.283,numeric__Giảm trong năm > (1.671.148),numeric__Ngàn VND Số cuối năm > 806.300
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,723.998,21.110.516,(3.620.348),18.214.166,723998.0,21110516.0,-3620348.0,18214166.0
Thuế thu nhập doanh nghiệp (TM số 27.1),Thuế thu nhập doanh nghiệp (TM số 27.1),Thuế thu nhập doanh nghiệp (TM số 27.1),103.625,-,(103.625),-,103625.0,,-103625.0,
Khác,Khác,Khác,262.187,865.953,(1.128.140),-,262187.0,865953.0,-1128140.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.588.975,22.954.752,(6.523.261),19.020.466,2588975.0,22954752.0,-6523261.0,19020466.0
