row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn từ các cá nhân và các công ty (i),Ngắn hạn > Phải trả tiền mượn từ các cá nhân và các công ty (i),Phải trả tiền mượn từ các cá nhân và các công ty (i),1.746.328.174,377.057.289,1746328174.0,377057289.0
Phải trả do thu hộ,Ngắn hạn > Phải trả do thu hộ,Phải trả do thu hộ,34.111.498,27.922.021,34111498.0,27922021.0
Khác,Ngắn hạn > Khác,Khác,3.416.729,2.925.759,3416729.0,2925759.0
,,,1.783.856.401,407.905.069,1783856401.0,407905069.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả do thu hộ,Dài hạn > Phải trả do thu hộ,Phải trả do thu hộ,7.666.626,7.666.626,7666626.0,7666626.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.791.523.027,415.571.695,1791523027.0,415571695.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên liên quan (TM số 28),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 28),Phải trả ngắn hạn các bên liên quan (TM số 28),1.721.543.701,345.595.002,1721543701.0,345595002.0
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,69.979.326,69.976.693,69979326.0,69976693.0
