row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,,
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tên công ty > Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tư vấn và thiết kế,-,-,-,"25,00",5.000.000,(5.000.000),,,,,25.0,5000000.0,-5000000.0
"Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.","Vào ngày 20 tháng 5 năm 2025, Công ty đã hoàn tất chuyển nhượng toàn bộ cổ phần sở hữu trong Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông với giá trị chuyển nhượng là 6.000.000 ngân VND. Theo đó, Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông không còn là công ty liên kết của Công ty.",,,,,,,
13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,13.3 Đầu tư góp vốn vào đơn vị khác,,,,,,,
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,,
"Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"") (*)","Tên công ty > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"") (*)","Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"") (*)",Trồng cây công nghiệp và nông nghiệp,"8,24",909.019.966,(360.769.966),"8,24",909.019.966,(351.632.929),,8.24,909019966.0,-360769966.0,8.24,909019966.0,-351632929.0
Công ty Cổ phần Truyền thông Thanh Niền,Tên công ty > Công ty Cổ phần Truyền thông Thanh Niền,Công ty Cổ phần Truyền thông Thanh Niền,Truyền thông,"2,00",6.200.000,(6.200.000),"2,00",6.200.000,(6.200.000),,2.0,6200000.0,-6200000.0,2.0,6200000.0,-6200000.0
Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Tên công ty > Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Thương mại và vận tải,-,1.160.041,(1.160.041),-,1.160.041,(1.160.041),,,1160041.0,-1160041.0,,1160041.0,-1160041.0
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,916.380.007,(368.130.007),,916.380.007,(358.992.970),,,916380007.0,-368130007.0,,916380007.0,-358992970.0
